month,acquisition_channel,spend,new_customers,monthly_cac
2024-01,Organic,14094.78,158,89.21
2024-02,Organic,12968.51,152,85.32
2024-03,Organic,15526.84,194,80.04
2024-04,Organic,15159.33,162,93.58
2024-05,Organic,15447.539999999999,173,89.29
2024-06,Organic,15710.13,185,84.92
2024-07,Organic,15788.539999999999,202,78.16
2024-08,Organic,17440.420000000002,221,78.92
2024-09,Organic,15615.289999999999,203,76.92
2024-10,Organic,16965.08,207,81.96
2024-11,Organic,17435.29,262,66.55
2024-12,Organic,18278.51,252,72.53
2025-01,Organic,18637.73,292,63.83
2025-02,Organic,16604.15,245,67.77
2025-03,Organic,18816.39,269,69.95
2025-04,Organic,19206.84,273,70.35
2025-05,Organic,21024.35,329,63.9
2025-06,Organic,19707.12,284,69.39
2025-07,Organic,21385.1,313,68.32
2025-08,Organic,21197.41,322,65.83
2025-09,Organic,22181.44,303,73.21
2025-10,Organic,22707.32,374,60.71
2025-11,Organic,20587.41,330,62.39
2025-12,Organic,22604.58,373,60.6
2024-01,Paid Search,67855.65,221,307.04
2024-02,Paid Search,69993.8,203,344.8
2024-03,Paid Search,80891.72,263,307.57
2024-04,Paid Search,81015.86,250,324.06
2024-05,Paid Search,83460.99,287,290.8
2024-06,Paid Search,93479.89,250,373.92
2024-07,Paid Search,96591.13,316,305.67
2024-08,Paid Search,99752.25,311,320.75
2024-09,Paid Search,107184.62,360,297.74
2024-10,Paid Search,108978.2,319,341.62
2024-11,Paid Search,108034.11,322,335.51
2024-12,Paid Search,114501.12,354,323.45
2025-01,Paid Search,120553.13,418,288.4
2025-02,Paid Search,115907.55,382,303.42
2025-03,Paid Search,131474.39,433,303.64
2025-04,Paid Search,127445.20999999999,432,295.01
2025-05,Paid Search,130568.68000000001,434,300.85
2025-06,Paid Search,132791.38,415,319.98
2025-07,Paid Search,150806.09,524,287.8
2025-08,Paid Search,149332.09,483,309.18
2025-09,Paid Search,144477.05,493,293.06
2025-10,Paid Search,163192.77,505,323.15
2025-11,Paid Search,150756.18,480,314.08
2025-12,Paid Search,157102.08000000002,550,285.64
2024-01,Referral,10872.98,74,146.93
2024-02,Referral,9899.49,67,147.75
2024-03,Referral,10802.58,86,125.61
2024-04,Referral,10426.19,101,103.23
2024-05,Referral,11561.03,84,137.63
2024-06,Referral,10879.73,116,93.79
2024-07,Referral,11067.18,90,122.97
2024-08,Referral,10370.45,94,110.32
2024-09,Referral,10596.39,105,100.92
2024-10,Referral,10393.56,110,94.49
2024-11,Referral,10253.2,118,86.89
2024-12,Referral,10999.24,124,88.7
2025-01,Referral,10557.19,130,81.21
2025-02,Referral,10388.2,127,81.8
2025-03,Referral,10689.72,136,78.6
2025-04,Referral,10363.56,122,84.95
2025-05,Referral,10240.92,154,66.5
2025-06,Referral,10506.23,120,87.55
2025-07,Referral,10851.25,121,89.68
2025-08,Referral,10622.8,147,72.26
2025-09,Referral,10514.39,172,61.13
2025-10,Referral,11232.43,155,72.47
2025-11,Referral,9919.9,193,51.4
2025-12,Referral,10755.99,169,63.64
2024-01,Social,22899.7,52,440.38
2024-02,Social,24756.57,57,434.33
2024-03,Social,26286.86,61,430.93
2024-04,Social,20496.0,65,315.32
2024-05,Social,19902.43,59,337.33
2024-06,Social,22972.15,55,417.68
2024-07,Social,24386.92,82,297.4
2024-08,Social,23227.47,74,313.88
2024-09,Social,21336.64,64,333.38
2024-10,Social,19871.7,83,239.42
2024-11,Social,23677.9,95,249.24
2024-12,Social,25004.29,99,252.57
2025-01,Social,22336.32,72,310.23
2025-02,Social,16358.550000000001,64,255.6
2025-03,Social,26406.42,101,261.45
2025-04,Social,23907.649999999998,95,251.66
2025-05,Social,26068.65,93,280.31
2025-06,Social,20170.68,113,178.5
2025-07,Social,21596.67,109,198.13
2025-08,Social,20130.07,95,211.9
2025-09,Social,21843.72,79,276.5
2025-10,Social,25723.91,105,244.99
2025-11,Social,18527.06,115,161.1
2025-12,Social,20278.45,115,176.33
