cohort,months_since_signup,revenue,margin,orders,cohort_size,revenue_per_customer,margin_per_customer,cum_revenue_per_customer,cum_margin_per_customer
2024-01,0,93002.35,12725.93,1074,505,184.16,25.2,184.16,25.2
2024-01,1,86281.11,10533.53,1153,505,170.85,20.86,355.01,46.06
2024-01,2,47773.84,5357.44,642,505,94.6,10.61,449.61,56.67
2024-01,3,41735.94,3662.05,548,505,82.65,7.25,532.26,63.92
2024-01,4,27373.35,2516.66,386,505,54.2,4.98,586.46,68.9
2024-01,5,17127.05,1805.45,212,505,33.91,3.58,620.37,72.48
2024-01,6,12732.57,619.6800000000001,178,505,25.21,1.23,645.58,73.71
2024-01,7,12914.210000000001,597.97,168,505,25.57,1.18,671.15,74.89
2024-01,8,11049.91,274.01,145,505,21.88,0.54,693.03,75.43
2024-01,9,11318.34,169.58999999999997,147,505,22.41,0.34,715.44,75.77
2024-01,10,13766.57,1008.26,152,505,27.26,2.0,742.7,77.77
2024-01,11,12637.09,191.14000000000001,143,505,25.02,0.38,767.72,78.15
2024-01,12,10121.45,555.61,107,505,20.04,1.1,787.76,79.25
2024-01,13,3493.47,137.59,43,505,6.92,0.27,794.68,79.52
2024-01,14,4281.66,493.90999999999997,51,505,8.48,0.98,803.16,80.5
2024-01,15,3146.84,-394.32000000000005,43,505,6.23,-0.78,809.39,79.72
2024-01,16,2783.58,73.89,35,505,5.51,0.15,814.9,79.87
2024-01,17,1353.75,-212.54000000000002,19,505,2.68,-0.42,817.58,79.45
2024-01,18,1120.07,70.41,13,505,2.22,0.14,819.8,79.59
2024-01,19,1558.85,-157.38,23,505,3.09,-0.31,822.89,79.28
2024-01,20,498.37,82.35,5,505,0.99,0.16,823.88,79.44
2024-01,21,644.28,-84.67999999999999,10,505,1.28,-0.17,825.16,79.27
2024-01,22,429.65999999999997,-272.5,7,505,0.85,-0.54,826.01,78.73
2024-01,23,1048.01,113.42999999999999,8,505,2.08,0.22,828.09,78.95
2024-02,0,71326.49,7564.83,949,479,148.91,15.79,148.91,15.79
2024-02,1,99288.28,9811.57,1304,479,207.28,20.48,356.19,36.27
2024-02,2,38093.1,4076.73,499,479,79.53,8.51,435.72,44.78
2024-02,3,33387.87,2778.44,446,479,69.7,5.8,505.42,50.58
2024-02,4,17809.23,760.3100000000001,252,479,37.18,1.59,542.6,52.17
2024-02,5,11951.63,289.89,157,479,24.95,0.61,567.55,52.78
2024-02,6,9347.44,423.90000000000003,125,479,19.51,0.88,587.06,53.66
2024-02,7,10209.76,1065.5,126,479,21.31,2.22,608.37,55.88
2024-02,8,7707.58,220.98999999999998,101,479,16.09,0.46,624.46,56.34
2024-02,9,8226.42,694.01,91,479,17.17,1.45,641.63,57.79
2024-02,10,7380.09,76.16000000000001,85,479,15.41,0.16,657.04,57.95
2024-02,11,4565.07,-402.31,64,479,9.53,-0.84,666.57,57.11
2024-02,12,2403.72,-294.87,41,479,5.02,-0.62,671.59,56.49
2024-02,13,2011.93,137.9,24,479,4.2,0.29,675.79,56.78
2024-02,14,1771.8600000000001,14.700000000000017,27,479,3.7,0.03,679.49,56.81
2024-02,15,2752.27,128.19,33,479,5.75,0.27,685.24,57.08
2024-02,16,1068.53,80.65,15,479,2.23,0.17,687.47,57.25
2024-02,17,1251.79,29.730000000000004,17,479,2.61,0.06,690.08,57.31
2024-02,18,1153.82,-116.48,13,479,2.41,-0.24,692.49,57.07
2024-02,19,729.72,-117.57,13,479,1.52,-0.25,694.01,56.82
2024-02,20,1527.82,-180.53000000000003,22,479,3.19,-0.38,697.2,56.44
2024-02,21,631.34,-72.5,9,479,1.32,-0.15,698.52,56.29
2024-02,22,1184.87,65.27,12,479,2.47,0.14,700.99,56.43
2024-03,0,88898.17,9645.28,1189,604,147.18,15.97,147.18,15.97
2024-03,1,128914.18,11870.83,1697,604,213.43,19.65,360.61,35.62
2024-03,2,57110.58,4210.16,740,604,94.55,6.97,455.16,42.59
2024-03,3,28021.27,1443.01,381,604,46.39,2.39,501.55,44.98
2024-03,4,21781.77,526.23,299,604,36.06,0.87,537.61,45.85
2024-03,5,22459.86,1405.42,283,604,37.19,2.33,574.8,48.18
2024-03,6,16632.86,1038.69,223,604,27.54,1.72,602.34,49.9
2024-03,7,15574.789999999999,1175.26,196,604,25.79,1.95,628.13,51.85
2024-03,8,12788.56,75.17999999999999,171,604,21.17,0.12,649.3,51.97
2024-03,9,15376.07,-539.53,180,604,25.46,-0.89,674.76,51.08
2024-03,10,11480.53,293.0,139,604,19.01,0.49,693.77,51.57
2024-03,11,6453.61,148.1,88,604,10.68,0.25,704.45,51.82
2024-03,12,5894.78,-370.18,86,604,9.76,-0.61,714.21,51.21
2024-03,13,4152.04,-119.62999999999998,65,604,6.87,-0.2,721.08,51.01
2024-03,14,4537.31,-300.15999999999997,61,604,7.51,-0.5,728.59,50.51
2024-03,15,3242.63,335.07,40,604,5.37,0.55,733.96,51.06
2024-03,16,3706.93,324.64,45,604,6.14,0.54,740.1,51.6
2024-03,17,3867.44,-2.3100000000000307,47,604,6.4,-0.0,746.5,51.6
2024-03,18,2705.21,-389.73999999999995,36,604,4.48,-0.65,750.98,50.95
2024-03,19,2148.63,-234.52999999999997,31,604,3.56,-0.39,754.54,50.56
2024-03,20,3175.12,135.07,36,604,5.26,0.22,759.8,50.78
2024-03,21,1637.6200000000001,-73.17999999999999,18,604,2.71,-0.12,762.51,50.66
2024-04,0,83295.73,7401.6,1113,578,144.11,12.81,144.11,12.81
2024-04,1,126933.18,10691.58,1697,578,219.61,18.5,363.72,31.31
2024-04,2,42274.88,2287.23,566,578,73.14,3.96,436.86,35.27
2024-04,3,34140.62,1487.52,465,578,59.07,2.57,495.93,37.84
2024-04,4,28560.62,2246.31,352,578,49.41,3.89,545.34,41.73
2024-04,5,22670.78,1154.78,316,578,39.22,2.0,584.56,43.73
2024-04,6,17956.96,614.28,245,578,31.07,1.06,615.63,44.79
2024-04,7,15922.1,1239.1299999999999,185,578,27.55,2.14,643.18,46.93
2024-04,8,16471.41,-133.49000000000004,195,578,28.5,-0.23,671.68,46.7
2024-04,9,11347.33,1050.95,126,578,19.63,1.82,691.31,48.52
2024-04,10,6179.8099999999995,133.53,84,578,10.69,0.23,702.0,48.75
2024-04,11,5473.31,-280.88,78,578,9.47,-0.49,711.47,48.26
2024-04,12,4913.01,-14.279999999999996,68,578,8.5,-0.02,719.97,48.24
2024-04,13,3935.04,-169.01000000000002,56,578,6.81,-0.29,726.78,47.95
2024-04,14,2963.89,151.62,39,578,5.13,0.26,731.91,48.21
2024-04,15,2025.34,-43.430000000000014,27,578,3.5,-0.08,735.41,48.13
2024-04,16,2469.39,-95.73000000000002,29,578,4.27,-0.17,739.68,47.96
2024-04,17,2040.64,-343.24,29,578,3.53,-0.59,743.21,47.37
2024-04,18,2417.69,-134.42000000000002,27,578,4.18,-0.23,747.39,47.14
2024-04,19,1948.28,-263.69,28,578,3.37,-0.46,750.76,46.68
2024-04,20,1886.57,-438.69,21,578,3.26,-0.76,754.02,45.92
2024-05,0,95511.49,9990.36,1231,603,158.39,16.57,158.39,16.57
2024-05,1,107980.25,7029.37,1434,603,179.07,11.66,337.46,28.23
2024-05,2,53189.76,4818.82,677,603,88.21,7.99,425.67,36.22
2024-05,3,44181.07,3813.2400000000002,563,603,73.27,6.32,498.94,42.54
2024-05,4,31797.04,2150.86,416,603,52.73,3.57,551.67,46.11
2024-05,5,19693.19,-5.399999999999982,269,603,32.66,-0.01,584.33,46.1
2024-05,6,19229.57,1028.3899999999999,240,603,31.89,1.71,616.22,47.81
2024-05,7,21202.89,447.97,233,603,35.16,0.74,651.38,48.55
2024-05,8,18153.07,1256.42,208,603,30.1,2.08,681.48,50.63
2024-05,9,7084.05,93.75,88,603,11.75,0.16,693.23,50.79
2024-05,10,8205.93,474.7,106,603,13.61,0.79,706.84,51.58
2024-05,11,5673.7699999999995,-307.04,81,603,9.41,-0.51,716.25,51.07
2024-05,12,6278.53,-18.53,82,603,10.41,-0.03,726.66,51.04
2024-05,13,5000.1900000000005,294.27,57,603,8.29,0.49,734.95,51.53
2024-05,14,2300.09,-234.31,36,603,3.81,-0.39,738.76,51.14
2024-05,15,3214.52,-184.60000000000002,44,603,5.33,-0.31,744.09,50.83
2024-05,16,2544.85,-401.26,38,603,4.22,-0.67,748.31,50.16
2024-05,17,2010.56,-555.52,32,603,3.33,-0.92,751.64,49.24
2024-05,18,2627.71,-20.82,28,603,4.36,-0.03,756.0,49.21
2024-05,19,1973.98,-33.44,23,603,3.27,-0.06,759.27,49.15
2024-06,0,78412.55,5802.64,1045,606,129.39,9.58,129.39,9.58
2024-06,1,114467.54,7726.67,1536,606,188.89,12.75,318.28,22.33
2024-06,2,61787.45,3346.56,802,606,101.96,5.52,420.24,27.85
2024-06,3,43349.13,1920.36,578,606,71.53,3.17,491.77,31.02
2024-06,4,34903.11,1624.02,467,606,57.6,2.68,549.37,33.7
2024-06,5,29811.14,2909.38,334,606,49.19,4.8,598.56,38.5
2024-06,6,27712.04,11.480000000000011,323,606,45.73,0.02,644.29,38.52
2024-06,7,15284.3,-130.07,201,606,25.22,-0.21,669.51,38.31
2024-06,8,8557.85,47.16999999999995,115,606,14.12,0.08,683.63,38.39
2024-06,9,8042.13,283.65000000000003,103,606,13.27,0.47,696.9,38.86
2024-06,10,9557.09,107.04999999999998,121,606,15.77,0.18,712.67,39.04
2024-06,11,7820.82,131.79,97,606,12.91,0.22,725.58,39.26
2024-06,12,4910.08,-281.34999999999997,70,606,8.1,-0.46,733.68,38.8
2024-06,13,4973.11,-179.45999999999998,62,606,8.21,-0.3,741.89,38.5
2024-06,14,3325.96,3.9900000000000073,43,606,5.49,0.01,747.38,38.51
2024-06,15,3897.91,-36.59,51,606,6.43,-0.06,753.81,38.45
2024-06,16,3246.6,-334.75,42,606,5.36,-0.55,759.17,37.9
2024-06,17,3376.75,117.70999999999998,42,606,5.57,0.19,764.74,38.09
2024-06,18,2838.33,-329.61,37,606,4.68,-0.54,769.42,37.55
2024-07,0,100516.61,5615.5,1319,690,145.68,8.14,145.68,8.14
2024-07,1,160493.69,10059.69,2081,690,232.6,14.58,378.28,22.72
2024-07,2,72631.12,3986.23,948,690,105.26,5.78,483.54,28.5
2024-07,3,58742.65,2859.08,787,690,85.13,4.14,568.67,32.64
2024-07,4,46112.57,3529.9,521,690,66.83,5.12,635.5,37.76
2024-07,5,37377.13,-994.73,462,690,54.17,-1.44,689.67,36.32
2024-07,6,25855.21,257.31000000000006,313,690,37.47,0.37,727.14,36.69
2024-07,7,10325.55,13.270000000000014,146,690,14.96,0.02,742.1,36.71
2024-07,8,11164.88,48.819999999999965,141,690,16.18,0.07,758.28,36.78
2024-07,9,6853.43,-12.249999999999993,95,690,9.93,-0.02,768.21,36.76
2024-07,10,7490.66,515.6800000000001,95,690,10.86,0.75,779.07,37.51
2024-07,11,4343.67,-346.32000000000005,53,690,6.3,-0.5,785.37,37.01
2024-07,12,4518.06,-134.18,58,690,6.55,-0.19,791.92,36.82
2024-07,13,3327.78,156.01999999999998,38,690,4.82,0.23,796.74,37.05
2024-07,14,4833.77,-712.63,59,690,7.01,-1.03,803.75,36.02
2024-07,15,3152.79,-224.24999999999997,45,690,4.57,-0.32,808.32,35.7
2024-07,16,3441.0,139.21,38,690,4.99,0.2,813.31,35.9
2024-07,17,2839.18,-687.17,35,690,4.11,-1.0,817.42,34.9
2024-08,0,110890.11,6844.93,1467,700,158.41,9.78,158.41,9.78
2024-08,1,134517.79,6796.78,1792,700,192.17,9.71,350.58,19.49
2024-08,2,59625.39,1881.02,794,700,85.18,2.69,435.76,22.18
2024-08,3,55446.47,3894.43,645,700,79.21,5.56,514.97,27.74
2024-08,4,48527.1,1833.18,564,700,69.32,2.62,584.29,30.36
2024-08,5,34860.6,1773.29,411,700,49.8,2.53,634.09,32.89
2024-08,6,15100.02,-267.75,213,700,21.57,-0.38,655.66,32.51
2024-08,7,14745.46,755.67,191,700,21.06,1.08,676.72,33.59
2024-08,8,13164.63,-633.45,177,700,18.81,-0.9,695.53,32.69
2024-08,9,13317.89,249.97999999999996,172,700,19.03,0.36,714.56,33.05
2024-08,10,8506.96,-384.54999999999995,107,700,12.15,-0.55,726.71,32.5
2024-08,11,7759.62,-308.91999999999996,106,700,11.09,-0.44,737.8,32.06
2024-08,12,6023.97,-415.28000000000003,78,700,8.61,-0.59,746.41,31.47
2024-08,13,5684.37,23.000000000000018,75,700,8.12,0.03,754.53,31.5
