cohort,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23
2024-01,25.2,46.06,56.67,63.92,68.9,72.48,73.71,74.89,75.43,75.77,77.77,78.15,79.25,79.52,80.5,79.72,79.87,79.45,79.59,79.28,79.44,79.27,78.73,78.95
2024-02,15.79,36.27,44.78,50.58,52.17,52.78,53.66,55.88,56.34,57.79,57.95,57.11,56.49,56.78,56.81,57.08,57.25,57.31,57.07,56.82,56.44,56.29,56.43,
2024-03,15.97,35.62,42.59,44.98,45.85,48.18,49.9,51.85,51.97,51.08,51.57,51.82,51.21,51.01,50.51,51.06,51.6,51.6,50.95,50.56,50.78,50.66,,
2024-04,12.81,31.31,35.27,37.84,41.73,43.73,44.79,46.93,46.7,48.52,48.75,48.26,48.24,47.95,48.21,48.13,47.96,47.37,47.14,46.68,45.92,,,
2024-05,16.57,28.23,36.22,42.54,46.11,46.1,47.81,48.55,50.63,50.79,51.58,51.07,51.04,51.53,51.14,50.83,50.16,49.24,49.21,49.15,,,,
2024-06,9.58,22.33,27.85,31.02,33.7,38.5,38.52,38.31,38.39,38.86,39.04,39.26,38.8,38.5,38.51,38.45,37.9,38.09,37.55,,,,,
2024-07,8.14,22.72,28.5,32.64,37.76,36.32,36.69,36.71,36.78,36.76,37.51,37.01,36.82,37.05,36.02,35.7,35.9,34.9,,,,,,
2024-08,9.78,19.49,22.18,27.74,30.36,32.89,32.51,33.59,32.69,33.05,32.5,32.06,31.47,31.5,31.49,30.96,30.0,,,,,,,
2024-09,8.45,14.3,17.54,17.96,20.94,21.18,22.13,21.91,21.77,21.39,20.77,20.8,19.71,19.05,19.5,18.39,,,,,,,,
2024-10,4.26,12.26,14.52,20.07,20.61,19.54,18.63,18.26,17.92,17.48,16.46,16.42,16.87,16.68,15.26,,,,,,,,,
2024-11,8.62,9.46,15.1,14.98,15.79,14.42,13.85,12.98,12.57,11.96,10.73,10.56,10.09,8.5,,,,,,,,,,
2024-12,-0.37,13.22,14.54,15.38,15.51,16.72,16.07,15.72,15.2,14.47,13.98,13.46,11.33,,,,,,,,,,,
2025-01,10.47,13.82,14.66,13.98,14.38,13.98,13.67,13.77,12.22,11.14,10.68,10.3,,,,,,,,,,,,
2025-02,2.55,1.79,1.81,0.44,-1.28,-2.38,-3.45,-4.77,-5.34,-6.53,-9.59,,,,,,,,,,,,,
2025-03,-0.92,-0.85,-1.19,-2.41,-3.38,-5.29,-7.2,-8.65,-9.26,-12.61,,,,,,,,,,,,,,
2025-04,-1.33,-3.9,-5.94,-7.3,-9.51,-13.76,-15.2,-14.6,-17.36,,,,,,,,,,,,,,,
2025-05,-6.17,-14.24,-16.94,-18.06,-18.98,-21.96,-22.75,-26.52,,,,,,,,,,,,,,,,
2025-06,-0.65,-7.59,-10.46,-16.02,-19.31,-18.31,-22.73,,,,,,,,,,,,,,,,,
2025-07,-3.69,-12.61,-17.43,-22.19,-23.31,-30.46,,,,,,,,,,,,,,,,,,
2025-08,-7.54,-19.12,-25.51,-27.28,-35.21,,,,,,,,,,,,,,,,,,,
2025-09,-7.55,-25.12,-28.43,-41.55,,,,,,,,,,,,,,,,,,,,
2025-10,-12.19,-20.12,-39.45,,,,,,,,,,,,,,,,,,,,,
2025-11,-8.29,-49.33,,,,,,,,,,,,,,,,,,,,,,
2025-12,-66.22,,,,,,,,,,,,,,,,,,,,,,,
