cohort,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23
2024-01,0.6139,0.6891,0.5069,0.4455,0.3465,0.2238,0.2059,0.1663,0.1663,0.1465,0.1525,0.1208,0.1109,0.0535,0.0554,0.0535,0.0495,0.0238,0.0178,0.0238,0.0099,0.0139,0.0099,0.0119
2024-02,0.5532,0.7411,0.4843,0.4509,0.3048,0.2296,0.1816,0.1733,0.1482,0.1357,0.119,0.1065,0.0689,0.0376,0.0376,0.0543,0.0271,0.0271,0.023,0.023,0.0313,0.0167,0.0188,
2024-03,0.5513,0.7417,0.4553,0.3295,0.3096,0.2616,0.2301,0.2185,0.1821,0.1887,0.1457,0.1026,0.0927,0.0795,0.0695,0.0447,0.048,0.048,0.0364,0.0331,0.0315,0.0166,,
2024-04,0.5727,0.7785,0.4464,0.3806,0.3201,0.2837,0.2284,0.2007,0.192,0.1557,0.1021,0.1021,0.0934,0.0796,0.0502,0.0381,0.0398,0.0398,0.0329,0.0381,0.0242,,,
2024-05,0.5937,0.7214,0.4743,0.4129,0.3167,0.2637,0.2388,0.2371,0.1973,0.1028,0.1194,0.1012,0.0912,0.0647,0.0498,0.058,0.0431,0.0398,0.0348,0.0315,,,,
2024-06,0.5512,0.7195,0.5248,0.429,0.3531,0.2756,0.2426,0.1964,0.1353,0.1122,0.1155,0.099,0.0825,0.0677,0.0545,0.0561,0.0479,0.0512,0.0413,,,,,
2024-07,0.5667,0.7536,0.5188,0.4464,0.3507,0.2884,0.2406,0.1348,0.1261,0.1072,0.0986,0.0623,0.0667,0.0449,0.0638,0.0493,0.0377,0.0333,,,,,,
2024-08,0.5486,0.73,0.5,0.4171,0.3871,0.3,0.1943,0.1829,0.1671,0.1514,0.1086,0.1029,0.0786,0.0757,0.0629,0.0486,0.0657,,,,,,,
2024-09,0.5355,0.7596,0.4932,0.4686,0.3811,0.2432,0.2158,0.2022,0.1708,0.1161,0.112,0.0956,0.0669,0.0779,0.0765,0.0669,,,,,,,,
2024-10,0.5549,0.7441,0.5257,0.4409,0.3018,0.2712,0.2197,0.1989,0.153,0.1377,0.1057,0.1029,0.1099,0.0932,0.0876,,,,,,,,,
2024-11,0.5721,0.7829,0.542,0.3739,0.3275,0.2773,0.2585,0.192,0.1832,0.138,0.128,0.1242,0.1129,0.0966,,,,,,,,,,
2024-12,0.6128,0.7672,0.4451,0.3848,0.3438,0.2774,0.2051,0.2014,0.1628,0.1665,0.1315,0.1194,0.111,,,,,,,,,,,
2025-01,0.6316,0.7116,0.5351,0.4463,0.3958,0.284,0.2741,0.2061,0.2018,0.1612,0.1579,0.1546,,,,,,,,,,,,
2025-02,0.6076,0.7628,0.5073,0.4328,0.3411,0.2787,0.209,0.1809,0.1993,0.1443,0.1333,,,,,,,,,,,,,
2025-03,0.5964,0.7923,0.5186,0.4143,0.3493,0.2875,0.2481,0.2471,0.1853,0.1778,,,,,,,,,,,,,,
2025-04,0.6052,0.8069,0.5119,0.4241,0.3579,0.2928,0.295,0.2451,0.2126,,,,,,,,,,,,,,,
2025-05,0.6396,0.7723,0.5228,0.4525,0.402,0.3436,0.301,0.2762,,,,,,,,,,,,,,,,
2025-06,0.6212,0.809,0.5172,0.4785,0.4077,0.3444,0.3026,,,,,,,,,,,,,,,,,
2025-07,0.6279,0.8172,0.5811,0.4817,0.4264,0.3786,,,,,,,,,,,,,,,,,,
2025-08,0.6437,0.8472,0.6113,0.5301,0.4814,,,,,,,,,,,,,,,,,,,
2025-09,0.68,0.8997,0.6332,0.574,,,,,,,,,,,,,,,,,,,,
2025-10,0.7638,0.9359,0.7103,,,,,,,,,,,,,,,,,,,,,
2025-11,0.8327,0.9785,,,,,,,,,,,,,,,,,,,,,,
2025-12,0.9992,,,,,,,,,,,,,,,,,,,,,,,
