cohort,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23
2024-01,184.16,355.01,449.61,532.26,586.46,620.37,645.58,671.15,693.03,715.44,742.7,767.72,787.76,794.68,803.16,809.39,814.9,817.58,819.8,822.89,823.88,825.16,826.01,828.09
2024-02,148.91,356.19,435.72,505.42,542.6,567.55,587.06,608.37,624.46,641.63,657.04,666.57,671.59,675.79,679.49,685.24,687.47,690.08,692.49,694.01,697.2,698.52,700.99,
2024-03,147.18,360.61,455.16,501.55,537.61,574.8,602.34,628.13,649.3,674.76,693.77,704.45,714.21,721.08,728.59,733.96,740.1,746.5,750.98,754.54,759.8,762.51,,
2024-04,144.11,363.72,436.86,495.93,545.34,584.56,615.63,643.18,671.68,691.31,702.0,711.47,719.97,726.78,731.91,735.41,739.68,743.21,747.39,750.76,754.02,,,
2024-05,158.39,337.46,425.67,498.94,551.67,584.33,616.22,651.38,681.48,693.23,706.84,716.25,726.66,734.95,738.76,744.09,748.31,751.64,756.0,759.27,,,,
2024-06,129.39,318.28,420.24,491.77,549.37,598.56,644.29,669.51,683.63,696.9,712.67,725.58,733.68,741.89,747.38,753.81,759.17,764.74,769.42,,,,,
2024-07,145.68,378.28,483.54,568.67,635.5,689.67,727.14,742.1,758.28,768.21,779.07,785.37,791.92,796.74,803.75,808.32,813.31,817.42,,,,,,
2024-08,158.41,350.58,435.76,514.97,584.29,634.09,655.66,676.72,695.53,714.56,726.71,737.8,746.41,754.53,762.53,771.21,779.69,,,,,,,
2024-09,140.08,345.1,440.9,533.1,597.71,629.37,656.94,680.77,703.62,718.48,730.72,742.06,748.54,757.86,769.2,778.42,,,,,,,,
2024-10,142.11,364.17,482.99,567.08,606.16,639.63,667.2,694.55,712.54,729.2,740.24,753.41,766.73,778.95,790.66,,,,,,,,,
2024-11,161.42,419.7,540.33,593.5,642.87,676.12,707.77,728.47,749.14,765.0,778.31,794.17,811.72,826.55,,,,,,,,,,
2024-12,171.81,403.9,474.1,534.05,583.13,621.3,646.55,670.57,688.74,705.6,721.02,735.32,748.41,,,,,,,,,,,
2025-01,199.76,372.34,480.18,556.71,619.96,660.41,695.68,724.75,752.09,771.98,796.85,824.27,,,,,,,,,,,,
2025-02,160.45,369.69,468.94,547.25,595.6,633.07,665.13,691.56,718.38,739.05,758.39,,,,,,,,,,,,,
2025-03,143.5,364.66,465.49,529.22,578.68,619.8,653.33,687.68,716.65,743.94,,,,,,,,,,,,,,
2025-04,152.95,376.29,463.17,529.96,581.54,620.67,663.91,707.26,748.4,,,,,,,,,,,,,,,
2025-05,185.58,410.13,511.27,590.54,657.29,710.62,765.12,818.57,,,,,,,,,,,,,,,,
2025-06,169.95,412.45,510.12,594.27,666.96,737.61,804.39,,,,,,,,,,,,,,,,,
2025-07,153.99,367.82,480.64,566.7,657.03,736.5,,,,,,,,,,,,,,,,,,
2025-08,164.16,412.31,553.43,681.02,800.21,,,,,,,,,,,,,,,,,,,
2025-09,170.53,451.86,641.22,814.97,,,,,,,,,,,,,,,,,,,,
2025-10,200.69,578.04,856.41,,,,,,,,,,,,,,,,,,,,,
2025-11,293.05,883.94,,,,,,,,,,,,,,,,,,,,,,
2025-12,859.27,,,,,,,,,,,,,,,,,,,,,,,
