cohort,total_orders,total_revenue,total_margin,cohort_size,avg_ltv,avg_revenue,orders_per_customer,m1_retention,m3_retention,m6_retention,m1_health
2024-01,5312,418192.32,39867.48,505,78.95,828.1,10.52,0.6891,0.4455,0.2059,Good
2024-02,4425,335780.63,27034.51,479,56.44,701.0,9.24,0.7411,0.4509,0.1816,Good
2024-03,6051,460559.96,30596.68,604,50.66,762.52,10.02,0.7417,0.3295,0.2301,Good
2024-04,5746,435826.58,26541.67,578,45.92,754.03,9.94,0.7785,0.3806,0.2284,Good
2024-05,5886,457852.51,29637.23,603,49.15,759.29,9.76,0.7214,0.4129,0.2388,Good
2024-06,6069,466273.89,22740.64,606,37.53,769.43,10.01,0.7195,0.429,0.2426,Good
2024-07,7234,564019.75,24069.18,690,34.88,817.42,10.48,0.7536,0.4464,0.2406,Good
2024-08,7007,545777.77,20993.76,700,29.99,779.68,10.01,0.73,0.4171,0.1943,Good
2024-09,7240,569800.48,13470.45,732,18.4,778.42,9.89,0.7596,0.4686,0.2158,Good
2024-10,7063,568473.22,10978.99,719,15.27,790.64,9.82,0.7441,0.4409,0.2197,Good
2024-11,7986,658749.21,6784.3,797,8.51,826.54,10.02,0.7829,0.3739,0.2585,Good
2024-12,7630,620427.97,9384.35,829,11.32,748.41,9.2,0.7672,0.3848,0.2051,Good
2025-01,9410,751722.93,9401.06,912,10.31,824.26,10.32,0.7116,0.4463,0.2741,Good
2025-02,8150,620361.94,-7827.320000000001,818,-9.57,758.39,9.96,0.7628,0.4328,0.209,Good
2025-03,9170,698568.35,-11845.21,939,-12.61,743.95,9.77,0.7923,0.4143,0.2481,Good
2025-04,9031,690022.0,-16009.960000000001,922,-17.36,748.4,9.8,0.8069,0.4241,0.295,Good
2025-05,10655,826761.46,-26786.13,1010,-26.52,818.58,10.55,0.7723,0.4525,0.301,Good
2025-06,9553,749704.69,-21182.53,932,-22.73,804.4,10.25,0.809,0.4785,0.3026,Good
2025-07,10077,785832.3,-32513.510000000002,1067,-30.47,736.49,9.44,0.8172,0.4817,,Good
2025-08,10607,837824.35,-36866.56,1047,-35.21,800.21,10.13,0.8472,0.5301,,Good
2025-09,10611,853267.92,-43508.58,1047,-41.56,814.96,10.13,0.8997,0.574,,Good
2025-10,11632,975444.09,-44932.55,1139,-39.45,856.4,10.21,0.9359,,,Good
2025-11,11437,988242.63,-55144.22,1118,-49.32,883.94,10.23,0.9785,,,Good
2025-12,12018,1037144.26,-79931.95,1207,-66.22,859.27,9.96,,,,Fair
