customer_id,acquisition_channel,lifetime_margin,lifetime_revenue,total_orders,active_months,is_churned,ltv_bucket
1,Organic,43.24000000000001,1007.87,12,16,0,Low (0–50)
2,Paid Search,48.60000000000001,644.8199999999999,5,4,0,Low (0–50)
3,Paid Search,-209.29,204.23,6,1,1,Deep Loss (<-50)
4,Organic,8.539999999999997,369.70000000000005,5,11,0,Low (0–50)
5,Organic,-67.41,519.06,8,4,1,Deep Loss (<-50)
6,Organic,61.78,417.5,5,7,1,Healthy (50–150)
7,Social,-148.94,252.04,5,1,1,Deep Loss (<-50)
8,Paid Search,-51.22,192.29,4,5,0,Deep Loss (<-50)
9,Organic,-15.45,274.85,4,3,1,Loss (-50–0)
10,Paid Search,-18.400000000000002,469.95,6,2,1,Loss (-50–0)
11,Paid Search,-85.18,590.81,11,19,1,Deep Loss (<-50)
12,Paid Search,12.43,173.2,2,3,0,Low (0–50)
13,Paid Search,-42.87,639.77,6,7,0,Loss (-50–0)
14,Paid Search,48.58,421.55,5,5,1,Low (0–50)
15,Paid Search,76.98999999999998,928.49,11,1,1,Healthy (50–150)
16,Referral,-92.15,485.63,6,13,1,Deep Loss (<-50)
17,Organic,23.979999999999997,634.99,6,3,1,Low (0–50)
18,Social,19.09,730.58,8,11,0,Low (0–50)
19,Organic,-11.530000000000008,884.97,10,7,1,Loss (-50–0)
20,Paid Search,-50.309999999999995,796.49,11,2,1,Deep Loss (<-50)
21,Paid Search,-109.86999999999999,538.04,7,2,1,Deep Loss (<-50)
22,Paid Search,37.48,391.64,6,8,1,Low (0–50)
23,Paid Search,-6.510000000000001,270.14,3,4,1,Loss (-50–0)
24,Organic,188.63,747.68,6,8,1,High (>150)
25,Organic,-34.16,1224.1699999999998,15,1,1,Loss (-50–0)
26,Paid Search,-96.62,834.3199999999999,10,9,0,Deep Loss (<-50)
27,Paid Search,102.44,465.63,5,2,1,Healthy (50–150)
28,Paid Search,121.56,556.68,6,5,1,Healthy (50–150)
29,Paid Search,40.34,364.83,5,1,1,Low (0–50)
30,Paid Search,2.449999999999995,382.51,6,2,1,Low (0–50)
31,Referral,-96.25,707.06,11,10,0,Deep Loss (<-50)
32,Paid Search,123.98,531.91,6,1,1,Healthy (50–150)
33,Organic,26.229999999999997,529.21,6,17,1,Low (0–50)
34,Paid Search,57.260000000000005,850.79,8,6,0,Healthy (50–150)
35,Paid Search,62.089999999999996,844.13,8,12,0,Healthy (50–150)
36,Referral,27.459999999999997,797.54,7,5,0,Low (0–50)
37,Organic,47.599999999999994,297.87,4,1,1,Low (0–50)
38,Paid Search,-13.779999999999998,728.56,8,4,1,Loss (-50–0)
39,Referral,35.18000000000001,707.54,9,3,1,Low (0–50)
