customer_id,total_support_cost,total_margin,orders,avg_order_value,acquisition_channel,region,is_power_user,is_profitable_customer,support_to_margin_ratio
25,278.83,-34.16,15,84.0,Organic,East,0,False,278.83
45,695.97,403.97,46,93.54,Paid Search,South,1,True,1.72
51,859.12,-606.78,48,91.91,Paid Search,South,1,False,859.12
73,235.15,51.38,10,90.2,Organic,East,0,True,4.58
92,449.97,-140.53,36,80.5,Organic,West,1,False,449.97
94,778.24,159.21,61,82.27,Paid Search,North,1,True,4.89
115,246.99,-147.84,13,72.79,Organic,West,0,False,246.99
122,879.73,-43.87,56,89.29,Social,West,1,False,879.73
129,565.12,399.32,52,82.37,Paid Search,North,1,True,1.42
137,685.47,-350.04,57,69.33,Paid Search,East,1,False,685.47
147,380.15,-368.0,11,51.74,Social,West,0,False,380.15
165,289.97,-176.95,11,58.76,Paid Search,North,0,False,289.97
167,299.41,-142.05,10,70.98,Organic,East,0,False,299.41
171,239.39,60.33,13,107.26,Social,West,0,True,3.97
181,582.43,356.89,41,90.5,Social,East,1,True,1.63
187,1257.01,-557.4,54,87.68,Paid Search,East,1,False,1257.01
196,363.46,-258.86,11,62.96,Referral,West,0,False,363.46
197,412.99,-53.15,37,82.24,Organic,East,1,False,412.99
198,942.8,-819.34,45,79.0,Paid Search,East,1,False,942.8
202,773.85,211.47,45,79.67,Paid Search,West,1,True,3.66
210,693.21,305.02,56,75.92,Paid Search,South,1,True,2.27
216,251.17,-170.05,13,90.91,Paid Search,South,0,False,251.17
224,547.56,223.05,43,92.13,Referral,South,1,True,2.45
242,917.25,-439.82,52,76.88,Referral,North,1,False,917.25
266,299.52,-323.14,8,105.97,Paid Search,South,0,False,299.52
276,259.3,-293.73,10,130.3,Paid Search,West,0,False,259.3
291,705.3,145.52,55,77.22,Referral,North,1,True,4.85
306,425.96,-325.85,16,89.8,Organic,South,0,False,425.96
310,330.12,18.48,17,87.79,Referral,West,0,True,17.86
319,285.02,-351.06,11,83.75,Paid Search,South,0,False,285.02
325,263.15,-408.51,12,77.13,Paid Search,North,0,False,263.15
337,258.14,-49.46,12,94.92,Referral,North,0,False,258.14
341,234.19,-368.19,16,79.02,Social,West,0,False,234.19
351,769.54,-198.33,58,87.95,Paid Search,East,1,False,769.54
354,270.59,-153.83,10,89.41,Organic,South,0,False,270.59
359,279.11,-144.65,8,106.1,Paid Search,North,0,False,279.11
396,231.82,-254.53,13,88.27,Paid Search,North,0,False,231.82
400,547.22,-20.71,48,81.56,Organic,East,1,False,547.22
418,232.65,-15.63,10,91.17,Social,West,0,False,232.65
424,234.95,-108.37,9,81.87,Organic,North,0,False,234.95
427,400.74,-223.05,10,72.6,Organic,East,0,False,400.74
435,562.98,232.35,40,77.96,Organic,West,1,True,2.42
444,513.95,31.53,45,81.39,Organic,West,1,True,16.3
449,842.6,69.31,52,95.36,Organic,South,1,True,12.16
473,231.66,-86.11,10,81.39,Paid Search,West,0,False,231.66
506,709.0,224.49,54,84.61,Organic,East,1,True,3.16
519,254.09,-59.03,9,100.81,Social,North,0,False,254.09
520,256.76,-152.33,8,72.89,Organic,South,0,False,256.76
530,596.77,16.73,53,89.03,Organic,West,1,True,35.67
