order_month,acquisition_channel,orders,revenue,margin
2024-01,Organic,282,25047.14,4373.76
2024-01,Paid Search,505,42610.66,5121.61
2024-01,Referral,157,14255.99,1992.92
2024-01,Social,130,11088.56,1237.64
2024-02,Organic,555,41836.31,5136.11
2024-02,Paid Search,1041,77765.41,9444.79
2024-02,Referral,249,18776.44,1722.69
2024-02,Social,257,19229.44,1794.77
2024-03,Organic,995,75315.28,8380.32
2024-03,Paid Search,1525,114055.17,11076.39
2024-03,Referral,314,23854.48,2878.23
2024-03,Social,301,22735.36,2479.35
2024-04,Organic,1157,88766.16,9325.22
2024-04,Paid Search,1858,139211.76,10545.02
2024-04,Referral,482,37223.77,4108.32
2024-04,Social,360,26837.26,3032.65
2024-05,Organic,1249,96550.68,9986.59
2024-05,Paid Search,2117,157427.03,12431.59
2024-05,Referral,633,47835.32,3872.96
2024-05,Social,501,38503.44,3896.06
2024-06,Organic,1086,83110.12,7557.54
2024-06,Paid Search,1816,135828.68,8040.72
2024-06,Referral,533,39179.22,1898.75
2024-06,Social,455,33507.21,1631.0
2024-07,Organic,1254,96670.64,7941.11
2024-07,Paid Search,2114,159004.33,9086.74
2024-07,Referral,706,52915.05,3417.98
2024-07,Social,557,40190.48,638.4799999999999
2024-08,Organic,1668,126974.5,8502.16
2024-08,Paid Search,2675,206921.84,13174.35
2024-08,Referral,726,57219.8,3581.33
2024-08,Social,772,59518.31,3480.18
2024-09,Organic,1658,128411.87,9130.07
2024-09,Paid Search,2866,216756.32,10480.03
2024-09,Referral,716,53347.72,3263.82
2024-09,Social,624,46883.42,1698.5
2024-10,Organic,1723,128977.69,4197.67
2024-10,Paid Search,3096,229192.27,6351.87
2024-10,Referral,916,70838.56,3660.44
2024-10,Social,666,48765.99,1672.9399999999998
2024-11,Organic,1876,159148.99,9457.19
2024-11,Paid Search,3066,257933.72,9867.93
2024-11,Referral,945,80606.37,4726.34
2024-11,Social,718,62055.1,5319.29
2024-12,Organic,2473,215854.76,5933.46
2024-12,Paid Search,3548,299006.58,-2891.2400000000002
2024-12,Referral,1172,100946.06,1170.38
2024-12,Social,850,72074.88,-1025.91
2025-01,Organic,2541,223233.21,14484.09
2025-01,Paid Search,3655,314828.57,15519.0
2025-01,Referral,1205,100160.5,2814.8500000000004
2025-01,Social,849,71926.8,3317.37
2025-02,Organic,1995,154049.62,3949.54
2025-02,Paid Search,2937,223124.3,838.2799999999999
2025-02,Referral,1005,75864.14,1122.4499999999998
2025-02,Social,617,47035.96,804.75
2025-03,Organic,2385,184004.9,4111.0
2025-03,Paid Search,3566,265138.11,-59.28999999999999
2025-03,Referral,1177,89492.45,-1567.38
2025-03,Social,809,58733.54,-389.12
2025-04,Organic,2675,200708.02,-185.1800000000003
2025-04,Paid Search,3964,295685.53,-5046.02
2025-04,Referral,1160,85478.06,-333.2699999999999
2025-04,Social,912,71475.67,648.29
2025-05,Organic,3095,238795.24,1833.1499999999999
2025-05,Paid Search,4441,337292.42,-6891.22
2025-05,Referral,1390,107891.52,24.419999999999963
2025-05,Social,954,67966.76,-3851.33
2025-06,Organic,2938,226997.93,-907.8400000000001
2025-06,Paid Search,4008,306314.6,-8153.78
2025-06,Referral,1261,93277.36,-4627.54
2025-06,Social,901,67629.23,-1980.24
2025-07,Organic,3085,241850.75,-2125.76
2025-07,Paid Search,4362,332077.2,-10464.02
2025-07,Referral,1353,103210.83,-2726.39
2025-07,Social,924,71155.06,-3024.2
2025-08,Organic,3304,252461.75,-6695.3
2025-08,Paid Search,4530,342376.45,-12879.550000000001
2025-08,Referral,1401,108156.68,-3797.13
2025-08,Social,1030,75909.11,-4899.58
2025-09,Organic,3505,265437.89,-10630.4
2025-09,Paid Search,5182,390490.95,-22670.36
2025-09,Referral,1768,135588.93,-4598.5199999999995
2025-09,Social,1215,88912.97,-5891.2300000000005
2025-10,Organic,4414,341497.28,-11534.83
2025-10,Paid Search,6127,464834.3,-29390.57
2025-10,Referral,2054,155628.14,-10130.39
2025-10,Social,1268,97127.09,-5673.24
2025-11,Organic,5369,463900.42,-3928.55
2025-11,Paid Search,7321,629361.2,-14802.61
2025-11,Referral,2737,239192.04,-6423.31
2025-11,Social,1659,145467.86,-2158.08
2025-12,Organic,10127,896930.72,-47877.55
2025-12,Paid Search,13242,1132878.23,-95726.74
2025-12,Referral,4801,413037.93,-36956.69
2025-12,Social,2839,241276.85,-20318.31
