order_id,variable_cost,delivery_cost,support_cost,total_cost
1,30.08,16.76,5.32,52.160000000000004
2,10.88,17.51,41.85,70.24000000000001
3,20.57,14.76,17.06,52.39
4,26.19,6.92,11.19,44.3
5,20.25,15.06,7.87,43.18
6,17.14,22.38,6.92,46.44
7,112.0,25.89,8.46,146.35
8,10.37,8.39,2.34,21.099999999999998
9,98.32,13.89,6.73,118.94
10,49.38,17.43,16.06,82.87
11,30.28,11.93,10.1,52.31
12,101.39,17.31,15.61,134.31
13,28.16,8.07,2.23,38.46
14,86.88,22.34,10.98,120.2
15,68.44,6.84,4.92,80.2
16,11.15,13.55,10.81,35.510000000000005
17,45.29,13.77,8.79,67.85
18,41.18,28.04,25.45,94.67
19,72.23,11.06,17.71,101.0
20,18.12,23.1,23.21,64.43
21,16.58,12.2,17.0,45.78
22,40.4,21.22,2.96,64.58
23,22.39,16.8,2.2,41.39
24,21.19,21.12,20.46,62.77
25,48.18,11.75,5.34,65.27
26,20.18,14.63,3.95,38.760000000000005
27,18.2,13.9,1.45,33.550000000000004
28,25.21,14.74,9.45,49.400000000000006
29,30.26,6.57,37.13,73.96000000000001
30,20.92,16.99,5.99,43.9
31,24.78,19.39,3.37,47.54
32,28.45,14.51,5.38,48.34
33,54.34,23.63,2.04,80.01
34,20.58,19.88,14.88,55.339999999999996
35,17.28,20.53,1.16,38.97
36,24.81,21.2,76.94,122.94999999999999
37,34.65,12.31,23.53,70.49000000000001
38,46.52,11.31,9.54,67.37
39,11.63,14.18,2.97,28.78
40,84.33,15.86,16.12,116.31
41,24.9,9.78,1.61,36.29
42,96.67,13.94,122.39,233.0
43,22.08,26.26,4.46,52.800000000000004
44,66.44,10.89,34.03,111.36
45,41.92,23.19,7.27,72.38
46,23.69,7.93,4.89,36.51
47,51.45,12.16,10.74,74.35
48,25.22,19.31,1.1,45.63
49,30.23,17.73,9.32,57.28
50,79.71,21.78,0.63,102.11999999999999
51,15.06,17.43,9.69,42.18
52,24.32,15.12,29.9,69.34
53,43.69,18.39,65.48,127.56
54,28.6,15.91,5.97,50.480000000000004
55,72.35,24.04,6.47,102.85999999999999
56,31.09,17.33,6.03,54.45
57,23.47,13.44,10.2,47.11
58,24.26,10.57,18.08,52.91
59,119.65,14.02,2.94,136.61
60,48.14,11.33,4.09,63.56
61,21.5,10.27,2.24,34.01
62,26.71,18.52,3.78,49.010000000000005
63,36.71,28.55,11.23,76.49000000000001
64,88.42,21.61,48.78,158.81
65,18.04,11.18,13.81,43.03
66,20.01,13.72,9.29,43.02
67,89.97,23.29,3.12,116.38
68,10.12,21.21,15.96,47.29
69,16.95,14.63,8.03,39.61
70,21.75,15.61,7.66,45.019999999999996
