customer_id,signup_date,acquisition_channel,region,signup_month
1,2023-04-13,Paid Search,South,2023-04
2,2024-03-11,Paid Search,West,2024-03
3,2023-09-28,Referral,East,2023-09
4,2023-04-17,Paid Search,West,2023-04
5,2023-03-13,Paid Search,East,2023-03
6,2024-12-01,Organic,West,2024-12
7,2023-01-21,Paid Search,South,2023-01
8,2024-09-06,Organic,West,2024-09
9,2023-05-02,Referral,West,2023-05
10,2024-04-11,Paid Search,East,2024-04
11,2023-08-03,Organic,South,2023-08
12,2023-11-27,Organic,East,2023-11
13,2024-04-03,Paid Search,West,2024-04
14,2023-03-29,Organic,North,2023-03
15,2024-01-08,Paid Search,West,2024-01
16,2023-04-10,Organic,West,2023-04
17,2024-10-25,Paid Search,East,2024-10
18,2023-05-11,Organic,North,2023-05
19,2024-10-23,Paid Search,North,2024-10
20,2023-11-05,Referral,East,2023-11
21,2023-12-10,Paid Search,South,2023-12
22,2024-05-06,Paid Search,North,2024-05
23,2024-02-18,Organic,North,2024-02
24,2024-01-21,Organic,East,2024-01
25,2023-07-11,Organic,South,2023-07
26,2023-10-04,Organic,South,2023-10
27,2023-06-10,Referral,West,2023-06
28,2024-04-04,Referral,West,2024-04
29,2023-11-10,Paid Search,East,2023-11
30,2023-01-22,Organic,South,2023-01
31,2023-09-10,Referral,East,2023-09
32,2024-07-14,Social,West,2024-07
33,2024-04-19,Referral,East,2024-04
34,2023-02-28,Paid Search,East,2023-02
35,2024-05-25,Paid Search,North,2024-05
36,2024-11-12,Organic,North,2024-11
37,2024-04-20,Organic,North,2024-04
38,2024-11-30,Organic,West,2024-11
39,2023-07-09,Organic,East,2023-07
40,2024-11-17,Referral,North,2024-11
41,2024-07-16,Paid Search,North,2024-07
42,2024-07-20,Referral,North,2024-07
43,2023-09-01,Paid Search,West,2023-09
44,2024-05-19,Paid Search,West,2024-05
45,2023-05-11,Organic,East,2023-05
46,2024-04-29,Referral,East,2024-04
47,2024-10-08,Paid Search,East,2024-10
48,2023-01-21,Paid Search,North,2023-01
49,2023-06-16,Social,South,2023-06
50,2023-10-01,Paid Search,West,2023-10
51,2024-01-23,Organic,North,2024-01
52,2024-08-23,Organic,North,2024-08
53,2023-11-12,Organic,East,2023-11
54,2023-01-14,Organic,East,2023-01
55,2023-08-30,Paid Search,North,2023-08
56,2023-12-12,Organic,West,2023-12
57,2024-07-18,Paid Search,West,2024-07
58,2023-12-06,Organic,North,2023-12
59,2023-04-02,Paid Search,South,2023-04
60,2024-01-02,Organic,South,2024-01
61,2024-03-30,Paid Search,West,2024-03
62,2024-03-03,Paid Search,East,2024-03
63,2024-05-23,Paid Search,South,2024-05
64,2023-02-04,Paid Search,South,2023-02
65,2023-07-25,Referral,East,2023-07
66,2023-03-22,Paid Search,South,2023-03
67,2024-07-15,Social,North,2024-07
68,2024-01-23,Social,South,2024-01
69,2023-01-02,Organic,East,2023-01
70,2024-01-25,Paid Search,North,2024-01
71,2024-07-19,Paid Search,South,2024-07
72,2023-04-16,Referral,West,2023-04
73,2024-04-21,Paid Search,North,2024-04
74,2024-12-03,Paid Search,North,2024-12
75,2024-02-06,Organic,West,2024-02
76,2024-12-30,Referral,West,2024-12
77,2024-07-09,Referral,South,2024-07
78,2023-06-11,Paid Search,South,2023-06
79,2023-07-21,Organic,East,2023-07
80,2023-09-27,Paid Search,East,2023-09
81,2023-09-28,Paid Search,North,2023-09
82,2024-03-31,Referral,West,2024-03
83,2024-04-06,Paid Search,West,2024-04
84,2024-12-27,Paid Search,East,2024-12
85,2023-09-09,Paid Search,North,2023-09
86,2024-12-02,Referral,North,2024-12
87,2023-10-23,Referral,East,2023-10
88,2024-12-25,Organic,East,2024-12
89,2024-12-20,Referral,East,2024-12
90,2023-12-04,Paid Search,South,2023-12
91,2023-02-22,Organic,North,2023-02
92,2023-08-05,Paid Search,North,2023-08
93,2023-07-07,Paid Search,North,2023-07
94,2024-01-15,Organic,East,2024-01
95,2024-05-07,Social,East,2024-05
96,2023-02-10,Paid Search,East,2023-02
97,2023-06-06,Paid Search,East,2023-06
98,2023-01-15,Paid Search,West,2023-01
99,2023-03-06,Paid Search,East,2023-03
100,2024-06-04,Social,South,2024-06
101,2023-12-10,Organic,West,2023-12
102,2023-05-09,Organic,West,2023-05
103,2024-10-09,Referral,East,2024-10
104,2024-04-16,Paid Search,North,2024-04
105,2023-03-04,Organic,East,2023-03
106,2023-05-19,Paid Search,North,2023-05
107,2024-05-13,Organic,East,2024-05
108,2024-08-15,Social,East,2024-08
109,2024-01-27,Referral,North,2024-01
110,2024-11-05,Paid Search,North,2024-11
111,2024-02-23,Referral,North,2024-02
112,2023-10-16,Paid Search,North,2023-10
113,2024-01-14,Paid Search,South,2024-01
114,2024-05-04,Paid Search,North,2024-05
115,2023-08-19,Paid Search,East,2023-08
116,2023-02-10,Organic,East,2023-02
117,2023-01-28,Organic,South,2023-01
118,2023-05-15,Social,North,2023-05
119,2023-07-20,Organic,East,2023-07
120,2023-02-02,Organic,South,2023-02
121,2023-02-17,Paid Search,East,2023-02
122,2024-05-17,Paid Search,South,2024-05
123,2024-02-11,Organic,South,2024-02
124,2024-07-27,Paid Search,West,2024-07
125,2024-12-28,Referral,West,2024-12
126,2023-04-09,Paid Search,North,2023-04
127,2024-11-14,Paid Search,West,2024-11
128,2024-12-26,Paid Search,South,2024-12
129,2024-06-30,Paid Search,East,2024-06
130,2024-09-04,Paid Search,East,2024-09
131,2024-04-06,Organic,North,2024-04
132,2024-10-04,Paid Search,West,2024-10
133,2023-01-05,Organic,North,2023-01
134,2023-08-06,Paid Search,South,2023-08
135,2024-05-17,Paid Search,West,2024-05
136,2024-02-02,Paid Search,North,2024-02
137,2024-01-28,Referral,East,2024-01
138,2023-07-26,Paid Search,East,2023-07
139,2023-01-15,Referral,North,2023-01
140,2024-07-07,Paid Search,North,2024-07
141,2024-04-05,Referral,North,2024-04
142,2024-11-21,Paid Search,South,2024-11
143,2024-07-28,Organic,South,2024-07
144,2023-08-29,Organic,East,2023-08
145,2024-07-17,Social,South,2024-07
146,2023-04-06,Paid Search,South,2023-04
147,2024-04-29,Paid Search,West,2024-04
148,2024-02-11,Paid Search,South,2024-02
149,2023-08-19,Referral,West,2023-08
150,2024-10-16,Organic,South,2024-10
151,2023-06-20,Referral,East,2023-06
152,2024-06-24,Paid Search,North,2024-06
153,2023-02-05,Paid Search,East,2023-02
154,2024-06-08,Paid Search,South,2024-06
155,2023-06-09,Social,North,2023-06
156,2024-11-29,Organic,North,2024-11
157,2023-08-31,Social,North,2023-08
158,2023-03-27,Paid Search,West,2023-03
159,2024-07-31,Organic,East,2024-07
160,2024-11-12,Organic,West,2024-11
161,2024-07-10,Paid Search,North,2024-07
162,2024-07-27,Referral,East,2024-07
163,2024-10-07,Social,East,2024-10
164,2023-01-28,Referral,South,2023-01
165,2024-09-11,Organic,West,2024-09
166,2024-07-09,Paid Search,West,2024-07
167,2023-12-06,Paid Search,South,2023-12
168,2023-11-27,Social,West,2023-11
169,2024-10-01,Paid Search,North,2024-10
170,2024-05-20,Organic,North,2024-05
171,2023-12-14,Organic,West,2023-12
172,2024-04-17,Organic,South,2024-04
173,2023-08-19,Social,East,2023-08
174,2023-07-09,Paid Search,West,2023-07
175,2023-08-13,Paid Search,East,2023-08
176,2024-01-20,Paid Search,South,2024-01
177,2024-01-12,Paid Search,East,2024-01
178,2023-10-10,Paid Search,South,2023-10
179,2024-09-24,Paid Search,South,2024-09
180,2024-09-19,Referral,North,2024-09
181,2023-09-16,Social,North,2023-09
182,2023-12-25,Paid Search,South,2023-12
183,2024-12-10,Paid Search,West,2024-12
184,2024-03-31,Social,North,2024-03
185,2024-02-15,Paid Search,South,2024-02
186,2024-10-10,Paid Search,East,2024-10
187,2023-11-14,Paid Search,East,2023-11
188,2024-11-07,Organic,West,2024-11
189,2023-08-13,Paid Search,East,2023-08
190,2023-08-22,Social,East,2023-08
191,2024-11-14,Paid Search,South,2024-11
192,2024-10-25,Organic,East,2024-10
193,2024-01-09,Paid Search,East,2024-01
194,2024-11-02,Organic,East,2024-11
195,2024-08-30,Organic,East,2024-08
196,2024-04-16,Referral,South,2024-04
197,2023-08-21,Referral,East,2023-08
198,2024-11-22,Organic,West,2024-11
199,2023-04-23,Social,North,2023-04
200,2024-05-11,Referral,West,2024-05
201,2024-03-17,Referral,North,2024-03
202,2024-07-17,Paid Search,West,2024-07
203,2023-09-25,Paid Search,North,2023-09
204,2024-05-24,Paid Search,North,2024-05
205,2024-01-21,Organic,North,2024-01
206,2024-01-22,Paid Search,North,2024-01
207,2023-04-23,Paid Search,South,2023-04
208,2024-09-04,Referral,West,2024-09
209,2024-09-16,Referral,North,2024-09
210,2023-03-22,Social,West,2023-03
211,2024-11-29,Paid Search,East,2024-11
212,2023-04-23,Organic,North,2023-04
213,2023-01-02,Paid Search,West,2023-01
214,2024-10-03,Paid Search,South,2024-10
215,2023-08-08,Paid Search,West,2023-08
216,2024-07-19,Paid Search,North,2024-07
217,2023-08-13,Paid Search,East,2023-08
218,2024-01-20,Referral,West,2024-01
219,2024-02-07,Paid Search,East,2024-02
220,2024-09-29,Organic,South,2024-09
221,2023-05-10,Organic,West,2023-05
222,2023-02-22,Paid Search,West,2023-02
223,2024-11-14,Organic,South,2024-11
224,2024-12-30,Paid Search,South,2024-12
225,2024-11-02,Organic,South,2024-11
226,2024-12-10,Paid Search,North,2024-12
227,2024-02-20,Paid Search,North,2024-02
228,2023-09-04,Paid Search,West,2023-09
229,2024-03-14,Organic,West,2024-03
230,2023-07-22,Social,West,2023-07
