order_month,variable_cost,delivery_cost,support_cost,total_cost
2024-01,53029.56,13177.46,14069.4,80276.42
2024-02,85112.02,27499.94,26897.28,139509.24
2024-03,129259.89,41955.3,39930.81,211146.0
2024-04,160951.03,54418.89,49657.82,265027.74
2024-05,187074.79,66256.93,56797.55,310129.27
2024-06,162676.18,59557.82,50263.22,272497.22
2024-07,192347.52,74263.55,61085.12,327696.19
2024-08,248055.17,96979.28,76861.98,421896.43
2024-09,244488.95,100796.65,75541.31,420826.91
2024-10,264849.66,113182.42,83859.51,461891.59
2024-11,320227.43,122431.64,87714.36,530373.43
2024-12,395296.76,151692.1,137706.73,684695.59
2025-01,404931.18,161743.07,107339.52,674013.77
2025-02,274899.34,132544.78,85914.88,493359.0
2025-03,327294.95,164307.12,103671.72,595273.79
2025-04,357648.51,187036.59,113578.36,658263.46
2025-05,414737.49,216802.9,129290.53,760830.92
2025-06,382949.71,207100.03,119838.78,709888.52
2025-07,413188.93,225189.01,128256.27,766634.21
2025-08,428236.37,244910.2,134028.98,807175.55
2025-09,484893.56,285706.39,153621.3,924221.25
2025-10,582577.95,348253.89,184984.0,1115815.84
2025-11,842075.76,438917.7,224240.61,1505234.07
2025-12,1534385.24,817619.22,532998.56,2885003.02
