order_id,customer_id,order_date,service_type,order_value,refund_flag,order_month,is_refunded
1,1267,2024-09-30,Premium,69.49,0,2024-09,False
2,4602,2024-01-20,Standard,31.48,0,2024-01,False
3,4296,2024-11-04,Standard,39.4,0,2024-11,False
4,2915,2023-01-26,Standard,62.54,0,2023-01,False
5,2620,2024-05-30,Standard,48.52,0,2024-05,False
6,4677,2024-11-18,Standard,41.47,0,2024-11,False
7,4687,2024-07-10,Express,146.01,0,2024-07,False
8,4856,2023-09-25,Standard,23.79,0,2023-09,False
9,649,2023-04-02,Express,141.45,0,2023-04,False
10,808,2023-10-20,Express,113.84,0,2023-10,False
11,3393,2024-01-22,Standard,70.75,0,2024-01,False
12,2725,2024-10-29,Express,143.46,0,2024-10,False
13,91,2023-05-10,Premium,60.6,0,2023-05,False
14,324,2024-04-29,Express,144.77,1,2024-04,True
15,4465,2023-04-21,Express,188.58,0,2023-04,False
16,4374,2024-03-03,Standard,35.58,0,2024-03,False
17,1820,2023-08-22,Premium,88.71,0,2023-08,False
18,4483,2024-12-13,Premium,92.25,0,2024-12,False
19,2987,2023-02-06,Express,115.75,0,2023-02,False
20,4036,2024-07-19,Standard,43.72,0,2024-07,False
21,2177,2023-04-15,Standard,40.92,0,2023-04,False
22,585,2023-12-05,Premium,85.98,0,2023-12,False
23,2211,2023-07-09,Standard,46.81,0,2023-07,False
24,2328,2024-10-26,Standard,45.15,0,2024-10,False
25,2778,2024-11-22,Premium,111.34,0,2024-11,False
26,546,2023-07-10,Standard,49.47,0,2023-07,False
27,4961,2023-02-25,Standard,34.53,0,2023-02,False
28,1233,2023-04-24,Standard,51.05,0,2023-04,False
29,998,2023-01-26,Premium,56.17,0,2023-01,False
30,2656,2023-04-20,Standard,48.24,0,2023-04,False
31,2704,2024-03-26,Standard,47.04,0,2024-03,False
32,2243,2023-06-02,Standard,63.03,0,2023-06,False
33,3872,2024-11-04,Premium,91.85,0,2024-11,False
34,2604,2024-05-15,Standard,45.57,0,2024-05,False
35,3071,2024-09-05,Standard,36.58,0,2024-09,False
36,3631,2024-04-16,Standard,52.29,0,2024-04,False
37,123,2023-12-27,Standard,65.81,0,2023-12,False
38,2872,2024-06-20,Premium,87.34,0,2024-06,False
39,4446,2023-07-12,Standard,27.41,0,2023-07,False
40,85,2024-01-02,Express,132.78,0,2024-01,False
41,2064,2023-06-12,Standard,50.62,0,2023-06,False
