order_month,service_type,orders,revenue,margin
2024-01,Express,318,42772.64,6831.08
2024-01,Premium,335,29657.71,6166.82
2024-01,Standard,421,20572.0,-271.97
2024-02,Express,415,53832.58,8326.97
2024-02,Premium,487,43209.47,8006.08
2024-02,Standard,1200,60565.55,1765.31
2024-03,Express,607,78951.36,11275.42
2024-03,Premium,806,71238.78,13007.93
2024-03,Standard,1722,85770.15,530.94
2024-04,Express,785,105681.91,16947.08
2024-04,Premium,923,79974.15,11632.56
2024-04,Standard,2149,106382.89,-1568.43
2024-05,Express,876,115705.7,15662.82
2024-05,Premium,1115,98421.29,15739.07
2024-05,Standard,2509,126189.48,-1214.69
2024-06,Express,761,99770.1,11545.73
2024-06,Premium,983,85252.51,11346.96
2024-06,Standard,2146,106602.62,-3764.68
2024-07,Express,881,118347.64,14859.66
2024-07,Premium,1174,103055.5,13433.33
2024-07,Standard,2576,127377.36,-7208.68
2024-08,Express,1227,163496.74,19564.52
2024-08,Premium,1476,130304.62,18499.61
2024-08,Standard,3138,156833.09,-9326.11
2024-09,Express,1166,155568.09,19152.26
2024-09,Premium,1476,128305.52,16810.49
2024-09,Standard,3222,161525.72,-11390.33
2024-10,Express,1276,163304.1,13833.67
2024-10,Premium,1569,137650.49,17647.68
2024-10,Standard,3556,176819.92,-15598.43
2024-11,Express,1933,254096.0,24341.57
2024-11,Premium,1934,168691.23,18907.55
2024-11,Standard,2738,136956.95,-13878.37
2024-12,Express,2430,320483.13,23303.75
2024-12,Premium,2407,210060.92,12817.13
2024-12,Standard,3206,157338.23,-32934.19
2025-01,Express,2478,330826.25,35405.49
2025-01,Premium,2447,214320.58,19653.84
2025-01,Standard,3325,165002.25,-18924.02
2025-02,Express,1359,180935.68,20062.31
2025-02,Premium,1650,142889.7,12505.17
2025-02,Standard,3545,176248.64,-25852.46
2025-03,Express,1547,201270.49,15508.61
2025-03,Premium,2044,179525.1,17156.44
2025-03,Standard,4346,216573.41,-30569.84
2025-04,Express,1664,218700.0,18156.6
2025-04,Premium,2194,192132.24,16103.18
2025-04,Standard,4853,242515.04,-39175.96
2025-05,Express,2011,261986.43,19159.32
2025-05,Premium,2527,222410.76,15671.12
2025-05,Standard,5342,267548.75,-43715.42
2025-06,Express,1894,249993.31,18506.61
2025-06,Premium,2235,196403.87,12463.28
2025-06,Standard,4979,247821.94,-46639.29
2025-07,Express,2016,268485.21,19070.44
2025-07,Premium,2449,216379.22,13670.06
2025-07,Standard,5259,263429.41,-51080.87
2025-08,Express,2057,271434.44,17948.91
2025-08,Premium,2567,225772.59,12070.35
2025-08,Standard,5641,281696.96,-58290.82
2025-09,Express,2278,303213.13,20965.35
2025-09,Premium,2929,256624.25,9112.01
2025-09,Standard,6463,320593.36,-73867.87
2025-10,Express,2747,366751.02,20684.54
2025-10,Premium,3505,313398.49,13526.62
2025-10,Standard,7611,378937.3,-90940.19
2025-11,Express,5122,681760.5,43066.21
2025-11,Premium,5183,458678.42,15995.82
2025-11,Standard,6781,337482.6,-86374.58
2025-12,Express,9458,1256172.19,27914.46
2025-12,Premium,9231,813563.31,-16428.37
2025-12,Standard,12320,614388.23,-212365.38
