ticket_id,order_id,resolution_cost,created_at
1,18559,8.1,2023-05-31
2,30577,1.95,2023-09-28
3,50945,14.63,2024-12-12
4,13524,4.55,2023-04-21
5,39799,5.06,2024-10-16
6,23682,22.39,2023-05-19
7,53855,1.9,2023-08-27
8,58730,3.84,2024-11-09
9,48274,4.61,2024-12-18
10,9450,12.43,2024-09-13
11,4452,3.1,2024-07-05
12,2668,8.2,2024-01-09
13,56866,18.02,2023-12-02
14,39129,16.39,2023-06-30
15,37744,8.58,2023-07-18
16,29652,6.97,2024-12-28
17,13160,40.91,2023-02-16
18,13804,16.72,2024-10-22
19,43669,43.86,2023-09-02
20,28606,11.41,2023-01-23
21,30468,2.09,2024-02-16
22,6237,5.4,2024-02-28
23,30582,4.44,2023-03-14
24,36599,6.12,2023-09-27
25,48071,12.36,2024-07-15
26,23534,47.18,2023-12-24
27,28499,5.15,2024-03-04
28,31390,8.29,2024-01-09
29,55475,4.24,2023-04-27
30,24864,3.76,2024-07-28
31,32382,22.75,2024-12-03
32,7400,20.45,2024-08-09
33,25644,6.25,2023-08-06
34,27402,13.04,2023-03-11
35,38090,5.17,2023-01-21
36,39630,6.47,2024-01-02
37,46534,24.61,2024-08-26
38,37905,6.88,2024-02-05
39,18166,4.12,2024-10-05
40,44338,1.55,2023-04-30
41,47612,3.87,2024-08-12
42,6119,4.76,2024-06-19
43,34637,15.03,2024-04-21
44,56452,6.68,2024-05-05
45,9899,1.59,2023-07-30
46,47673,131.53,2023-10-28
47,4556,10.02,2023-09-20
48,50528,3.05,2024-01-13
49,32532,6.35,2024-06-27
50,13254,11.58,2024-04-25
51,2636,20.04,2024-12-20
52,59331,3.23,2023-10-20
53,42990,10.57,2023-11-01
54,49937,5.75,2023-12-23
55,45227,20.86,2024-10-05
56,58727,10.57,2023-12-11
57,42631,20.29,2023-07-25
58,3572,19.63,2024-05-29
59,57177,6.65,2023-06-16
60,12102,49.61,2024-06-22
61,36450,5.05,2023-02-10
62,51182,3.51,2023-02-15
63,53094,33.28,2024-07-15
64,3035,10.21,2024-11-05
65,47338,9.5,2024-07-22
66,58637,10.59,2024-05-14
67,34242,7.2,2023-05-13
68,2701,2.77,2024-12-03
69,39898,27.08,2023-05-16
70,31318,18.14,2023-07-12
71,47143,7.78,2024-01-11
72,44220,2.59,2024-09-25
73,22462,2.66,2023-02-19
74,44579,3.13,2024-09-15
75,39395,34.55,2024-09-26
76,49431,6.45,2023-06-25
77,3289,5.31,2023-07-15
78,59473,8.62,2024-08-26
79,26481,12.58,2024-04-08
80,42317,18.26,2023-06-03
81,47904,10.08,2023-12-25
82,11266,11.46,2023-03-03
83,19216,7.6,2023-09-18
84,16090,61.75,2024-06-09
85,36917,33.92,2023-05-29
86,23836,1.97,2023-12-18
87,42993,50.22,2023-09-23
88,3950,7.52,2024-12-10
89,21420,26.21,2023-03-31
90,44677,16.34,2024-08-19
91,19475,4.84,2024-09-26
92,38160,6.88,2023-12-30
93,3175,2.26,2024-06-25
94,3474,10.45,2023-04-06
95,28664,5.76,2024-12-03
96,44792,9.31,2024-12-23
97,44565,2.38,2023-05-22
98,6120,7.95,2024-02-20
99,44105,5.51,2024-07-13
100,34036,32.9,2024-09-23
101,24142,10.69,2023-03-03
102,28320,9.78,2023-11-20
103,42106,4.26,2023-10-31
104,37066,36.1,2024-11-07
105,2192,15.01,2024-05-16
106,9285,8.14,2024-10-30
107,45603,2.67,2023-06-21
108,41094,21.57,2024-05-05
109,12759,20.91,2024-08-19
110,18759,20.75,2024-06-13
111,55063,15.05,2023-10-05
112,38410,13.39,2024-02-08
113,37807,1.13,2024-09-13
114,42536,5.16,2023-09-09
115,46926,8.37,2023-01-30
116,17954,27.76,2024-01-14
117,38740,12.51,2024-10-30
118,6862,5.06,2023-04-07
119,58945,1.36,2024-08-26
120,34480,22.01,2024-08-31
121,29077,3.94,2023-02-14
122,45064,5.07,2024-07-16
123,22489,1.99,2023-10-16
124,7659,5.14,2024-05-24
125,52266,14.78,2023-11-24
126,43896,5.45,2024-11-08
127,3785,9.01,2024-07-12
128,12233,17.71,2024-11-18
129,9436,2.9,2024-01-26
130,721,8.51,2023-11-11
131,27134,10.41,2023-08-28
132,16066,17.64,2023-02-11
133,56619,21.92,2023-03-10
134,23640,2.86,2023-10-05
135,47458,60.58,2024-10-01
136,30866,13.05,2024-10-14
137,26531,3.26,2024-04-02
138,39770,12.05,2024-09-08
139,45825,4.23,2023-11-13
140,23120,43.12,2024-07-07
141,13372,17.28,2024-02-19
142,26698,1.56,2024-11-12
143,29103,12.12,2024-07-20
144,920,6.12,2023-12-11
145,22306,9.47,2023-05-08
146,55209,6.51,2023-04-22
147,41333,28.32,2024-02-07
148,53634,1.94,2023-08-03
149,21307,2.07,2023-08-05
150,25749,6.88,2023-02-21
151,54672,7.22,2023-07-15
152,54697,4.93,2024-01-16
153,53278,3.9,2024-05-21
154,17931,7.44,2024-10-31
155,12827,15.18,2024-08-10
156,36928,6.89,2024-09-03
157,1881,3.36,2023-11-17
158,9433,7.0,2024-04-26
159,47341,4.81,2023-09-12
160,29003,3.84,2023-01-09
161,50802,5.17,2024-06-10
162,6329,14.92,2024-07-16
163,47745,21.08,2024-10-04
164,7108,44.21,2023-01-17
165,24271,14.81,2023-02-14
166,26361,6.25,2024-02-27
167,45550,3.32,2024-03-11
168,10214,5.57,2024-10-30
169,54500,4.49,2023-08-06
170,14675,7.17,2023-09-06
171,13643,14.7,2023-12-18
172,6057,5.49,2023-06-04
173,1908,3.96,2024-01-29
174,57443,18.82,2023-06-19
175,44743,15.67,2024-08-07
176,26151,10.28,2024-12-31
177,43983,22.94,2023-05-15
178,13461,4.32,2024-05-12
179,10665,3.52,2023-06-14
180,8523,6.88,2024-07-29
181,34656,34.73,2024-01-25
182,15390,9.27,2024-05-10
183,54047,23.41,2023-05-16
184,7363,1.78,2023-09-01
185,50937,20.11,2023-09-09
186,36530,7.88,2024-12-20
187,16667,3.53,2023-07-30
188,3240,25.25,2023-03-09
189,37958,3.93,2024-09-06
190,44182,8.96,2024-11-20
191,32563,2.93,2023-06-11
192,32967,5.09,2023-04-16
193,53865,8.44,2023-08-09
194,28650,3.86,2023-09-21
195,46599,14.95,2023-03-12
196,25361,0.93,2024-12-19
197,35149,8.23,2023-12-27
198,51912,20.44,2024-11-02
199,27381,2.08,2023-03-27
200,5168,13.91,2023-10-03
201,49444,7.65,2023-11-10
202,16903,10.27,2023-06-25
203,11901,7.4,2024-06-27
204,2614,4.21,2024-08-31
205,30020,26.17,2024-09-24
206,53777,63.67,2023-03-23
207,19474,11.11,2024-03-18
208,48463,7.31,2024-04-11
209,35662,13.68,2023-02-16
210,45455,10.32,2024-06-05
211,5903,5.92,2023-02-16
212,58573,2.69,2024-02-13
213,38312,14.2,2023-07-09
214,58371,19.69,2023-01-14
215,43761,5.78,2023-04-10
216,3776,10.98,2023-04-10
217,47512,4.47,2023-11-13
218,14487,10.59,2023-11-08
219,27597,11.1,2024-04-26
220,9743,77.89,2023-10-26
221,14141,5.08,2024-07-14
222,11901,10.45,2023-05-17
223,17093,20.41,2024-03-08
224,49349,7.77,2024-08-14
225,2761,12.52,2024-11-24
226,5222,14.48,2023-01-01
227,31425,35.46,2023-11-29
228,54539,55.72,2023-12-05
229,40987,5.51,2024-04-04
230,54373,37.11,2024-01-29
231,23400,1.66,2024-04-21
232,53533,21.57,2023-08-01
233,3937,14.26,2023-04-22
234,13751,7.27,2024-04-01
235,33149,9.88,2024-10-15
236,42924,13.27,2024-05-11
237,24025,12.9,2024-04-13
238,33665,10.8,2023-01-08
239,39037,24.96,2023-07-09
240,47725,24.57,2023-06-07
241,57928,9.05,2024-11-26
242,59243,11.45,2023-04-01
243,58951,24.28,2024-07-24
244,28944,11.17,2024-08-22
245,33934,6.54,2023-03-25
246,11236,6.68,2024-07-10
247,59957,2.81,2024-01-31
248,18912,34.37,2024-12-24
249,10955,11.36,2024-01-15
250,16865,4.0,2024-05-16
251,7030,35.98,2023-12-16
