order_id,variable_cost,delivery_cost,support_cost
1,30.08,16.76,5.32
2,10.88,17.51,41.85
3,20.57,14.76,17.06
4,26.19,6.92,11.19
5,20.25,15.06,7.87
6,17.14,22.38,6.92
7,112.0,25.89,8.46
8,10.37,8.39,2.34
9,98.32,13.89,6.73
10,49.38,17.43,16.06
11,30.28,11.93,10.1
12,101.39,17.31,15.61
13,28.16,8.07,2.23
14,86.88,22.34,10.98
15,68.44,6.84,4.92
16,11.15,13.55,10.81
17,45.29,13.77,8.79
18,41.18,28.04,25.45
19,72.23,11.06,17.71
20,18.12,23.1,23.21
21,16.58,12.2,17.0
22,40.4,21.22,2.96
23,22.39,16.8,2.2
24,21.19,21.12,20.46
25,48.18,11.75,5.34
26,20.18,14.63,3.95
27,18.2,13.9,1.45
28,25.21,14.74,9.45
29,30.26,6.57,37.13
30,20.92,16.99,5.99
31,24.78,19.39,3.37
32,28.45,14.51,5.38
33,54.34,23.63,2.04
34,20.58,19.88,14.88
35,17.28,20.53,1.16
36,24.81,21.2,76.94
37,34.65,12.31,23.53
38,46.52,11.31,9.54
39,11.63,14.18,2.97
40,84.33,15.86,16.12
41,24.9,9.78,1.61
42,96.67,13.94,122.39
43,22.08,26.26,4.46
44,66.44,10.89,34.03
45,41.92,23.19,7.27
46,23.69,7.93,4.89
47,51.45,12.16,10.74
48,25.22,19.31,1.1
49,30.23,17.73,9.32
50,79.71,21.78,0.63
51,15.06,17.43,9.69
52,24.32,15.12,29.9
53,43.69,18.39,65.48
54,28.6,15.91,5.97
55,72.35,24.04,6.47
56,31.09,17.33,6.03
57,23.47,13.44,10.2
58,24.26,10.57,18.08
59,119.65,14.02,2.94
60,48.14,11.33,4.09
61,21.5,10.27,2.24
62,26.71,18.52,3.78
63,36.71,28.55,11.23
64,88.42,21.61,48.78
65,18.04,11.18,13.81
66,20.01,13.72,9.29
67,89.97,23.29,3.12
68,10.12,21.21,15.96
69,16.95,14.63,8.03
70,21.75,15.61,7.66
71,23.93,26.37,5.84
72,49.86,22.21,50.47
73,24.98,8.52,8.4
74,15.04,14.86,12.58
75,22.1,19.21,4.31
76,23.68,20.22,8.48
77,16.73,24.98,7.94
78,18.49,9.19,3.45
79,28.64,6.38,1.34
80,36.37,25.29,29.78
81,115.0,20.26,5.83
82,30.37,9.82,9.44
83,14.62,14.63,2.38
84,20.6,23.98,3.11
85,20.06,18.66,21.66
86,42.08,17.34,8.57
87,75.35,23.34,5.13
88,17.71,21.39,16.29
89,87.19,27.7,6.57
90,22.31,17.52,15.65
91,67.54,22.24,8.02
92,70.39,14.76,15.44
93,23.53,7.79,17.5
94,25.74,23.48,35.0
95,78.12,12.44,4.1
96,22.98,13.97,18.37
97,24.03,10.89,12.2
98,22.88,9.21,15.36
99,21.83,9.43,12.89
100,24.96,22.05,5.04
101,56.36,8.78,11.04
102,126.03,11.2,8.86
103,12.82,18.52,4.55
104,62.64,25.22,3.75
105,22.35,17.77,19.68
106,17.45,22.13,4.56
107,23.48,15.71,5.21
