customer_id,signup_date,acquisition_channel,region
1,2023-04-13,Paid Search,South
2,2024-03-11,Paid Search,West
3,2023-09-28,Referral,East
4,2023-04-17,Paid Search,West
5,2023-03-13,Paid Search,East
6,2024-12-01,Organic,West
7,2023-01-21,Paid Search,South
8,2024-09-06,Organic,West
9,2023-05-02,Referral,West
10,2024-04-11,Paid Search,East
11,2023-08-03,Organic,South
12,2023-11-27,Organic,East
13,2024-04-03,Paid Search,West
14,2023-03-29,Organic,North
15,2024-01-08,Paid Search,West
16,2023-04-10,Organic,West
17,2024-10-25,Paid Search,East
18,2023-05-11,Organic,North
19,2024-10-23,Paid Search,North
20,2023-11-05,Referral,East
21,2023-12-10,Paid Search,South
22,2024-05-06,Paid Search,North
23,2024-02-18,Organic,North
24,2024-01-21,Organic,East
25,2023-07-11,Organic,South
26,2023-10-04,Organic,South
27,2023-06-10,Referral,West
28,2024-04-04,Referral,West
29,2023-11-10,Paid Search,East
30,2023-01-22,Organic,South
31,2023-09-10,Referral,East
32,2024-07-14,Social,West
33,2024-04-19,Referral,East
34,2023-02-28,Paid Search,East
35,2024-05-25,Paid Search,North
36,2024-11-12,Organic,North
37,2024-04-20,Organic,North
38,2024-11-30,Organic,West
39,2023-07-09,Organic,East
40,2024-11-17,Referral,North
41,2024-07-16,Paid Search,North
42,2024-07-20,Referral,North
43,2023-09-01,Paid Search,West
44,2024-05-19,Paid Search,West
45,2023-05-11,Organic,East
46,2024-04-29,Referral,East
47,2024-10-08,Paid Search,East
48,2023-01-21,Paid Search,North
49,2023-06-16,Social,South
50,2023-10-01,Paid Search,West
51,2024-01-23,Organic,North
52,2024-08-23,Organic,North
53,2023-11-12,Organic,East
54,2023-01-14,Organic,East
55,2023-08-30,Paid Search,North
56,2023-12-12,Organic,West
57,2024-07-18,Paid Search,West
58,2023-12-06,Organic,North
59,2023-04-02,Paid Search,South
60,2024-01-02,Organic,South
61,2024-03-30,Paid Search,West
62,2024-03-03,Paid Search,East
63,2024-05-23,Paid Search,South
64,2023-02-04,Paid Search,South
65,2023-07-25,Referral,East
66,2023-03-22,Paid Search,South
67,2024-07-15,Social,North
68,2024-01-23,Social,South
69,2023-01-02,Organic,East
70,2024-01-25,Paid Search,North
71,2024-07-19,Paid Search,South
72,2023-04-16,Referral,West
73,2024-04-21,Paid Search,North
74,2024-12-03,Paid Search,North
75,2024-02-06,Organic,West
76,2024-12-30,Referral,West
77,2024-07-09,Referral,South
78,2023-06-11,Paid Search,South
79,2023-07-21,Organic,East
80,2023-09-27,Paid Search,East
81,2023-09-28,Paid Search,North
82,2024-03-31,Referral,West
83,2024-04-06,Paid Search,West
84,2024-12-27,Paid Search,East
85,2023-09-09,Paid Search,North
86,2024-12-02,Referral,North
87,2023-10-23,Referral,East
88,2024-12-25,Organic,East
89,2024-12-20,Referral,East
90,2023-12-04,Paid Search,South
91,2023-02-22,Organic,North
92,2023-08-05,Paid Search,North
93,2023-07-07,Paid Search,North
94,2024-01-15,Organic,East
95,2024-05-07,Social,East
96,2023-02-10,Paid Search,East
97,2023-06-06,Paid Search,East
98,2023-01-15,Paid Search,West
99,2023-03-06,Paid Search,East
100,2024-06-04,Social,South
101,2023-12-10,Organic,West
102,2023-05-09,Organic,West
103,2024-10-09,Referral,East
104,2024-04-16,Paid Search,North
105,2023-03-04,Organic,East
106,2023-05-19,Paid Search,North
107,2024-05-13,Organic,East
108,2024-08-15,Social,East
109,2024-01-27,Referral,North
110,2024-11-05,Paid Search,North
111,2024-02-23,Referral,North
112,2023-10-16,Paid Search,North
113,2024-01-14,Paid Search,South
114,2024-05-04,Paid Search,North
115,2023-08-19,Paid Search,East
116,2023-02-10,Organic,East
117,2023-01-28,Organic,South
118,2023-05-15,Social,North
119,2023-07-20,Organic,East
120,2023-02-02,Organic,South
121,2023-02-17,Paid Search,East
122,2024-05-17,Paid Search,South
123,2024-02-11,Organic,South
124,2024-07-27,Paid Search,West
125,2024-12-28,Referral,West
126,2023-04-09,Paid Search,North
127,2024-11-14,Paid Search,West
128,2024-12-26,Paid Search,South
129,2024-06-30,Paid Search,East
130,2024-09-04,Paid Search,East
131,2024-04-06,Organic,North
132,2024-10-04,Paid Search,West
133,2023-01-05,Organic,North
134,2023-08-06,Paid Search,South
135,2024-05-17,Paid Search,West
136,2024-02-02,Paid Search,North
137,2024-01-28,Referral,East
138,2023-07-26,Paid Search,East
139,2023-01-15,Referral,North
140,2024-07-07,Paid Search,North
141,2024-04-05,Referral,North
142,2024-11-21,Paid Search,South
143,2024-07-28,Organic,South
144,2023-08-29,Organic,East
145,2024-07-17,Social,South
146,2023-04-06,Paid Search,South
147,2024-04-29,Paid Search,West
148,2024-02-11,Paid Search,South
149,2023-08-19,Referral,West
150,2024-10-16,Organic,South
151,2023-06-20,Referral,East
152,2024-06-24,Paid Search,North
153,2023-02-05,Paid Search,East
154,2024-06-08,Paid Search,South
155,2023-06-09,Social,North
156,2024-11-29,Organic,North
157,2023-08-31,Social,North
158,2023-03-27,Paid Search,West
159,2024-07-31,Organic,East
160,2024-11-12,Organic,West
161,2024-07-10,Paid Search,North
162,2024-07-27,Referral,East
163,2024-10-07,Social,East
164,2023-01-28,Referral,South
165,2024-09-11,Organic,West
166,2024-07-09,Paid Search,West
167,2023-12-06,Paid Search,South
168,2023-11-27,Social,West
169,2024-10-01,Paid Search,North
170,2024-05-20,Organic,North
171,2023-12-14,Organic,West
172,2024-04-17,Organic,South
173,2023-08-19,Social,East
174,2023-07-09,Paid Search,West
175,2023-08-13,Paid Search,East
176,2024-01-20,Paid Search,South
177,2024-01-12,Paid Search,East
178,2023-10-10,Paid Search,South
179,2024-09-24,Paid Search,South
180,2024-09-19,Referral,North
181,2023-09-16,Social,North
182,2023-12-25,Paid Search,South
183,2024-12-10,Paid Search,West
184,2024-03-31,Social,North
185,2024-02-15,Paid Search,South
186,2024-10-10,Paid Search,East
187,2023-11-14,Paid Search,East
188,2024-11-07,Organic,West
189,2023-08-13,Paid Search,East
190,2023-08-22,Social,East
191,2024-11-14,Paid Search,South
192,2024-10-25,Organic,East
193,2024-01-09,Paid Search,East
194,2024-11-02,Organic,East
195,2024-08-30,Organic,East
196,2024-04-16,Referral,South
197,2023-08-21,Referral,East
198,2024-11-22,Organic,West
199,2023-04-23,Social,North
200,2024-05-11,Referral,West
201,2024-03-17,Referral,North
202,2024-07-17,Paid Search,West
203,2023-09-25,Paid Search,North
204,2024-05-24,Paid Search,North
205,2024-01-21,Organic,North
206,2024-01-22,Paid Search,North
207,2023-04-23,Paid Search,South
208,2024-09-04,Referral,West
209,2024-09-16,Referral,North
210,2023-03-22,Social,West
211,2024-11-29,Paid Search,East
212,2023-04-23,Organic,North
213,2023-01-02,Paid Search,West
214,2024-10-03,Paid Search,South
215,2023-08-08,Paid Search,West
216,2024-07-19,Paid Search,North
217,2023-08-13,Paid Search,East
218,2024-01-20,Referral,West
219,2024-02-07,Paid Search,East
220,2024-09-29,Organic,South
221,2023-05-10,Organic,West
222,2023-02-22,Paid Search,West
223,2024-11-14,Organic,South
224,2024-12-30,Paid Search,South
225,2024-11-02,Organic,South
226,2024-12-10,Paid Search,North
227,2024-02-20,Paid Search,North
228,2023-09-04,Paid Search,West
229,2024-03-14,Organic,West
230,2023-07-22,Social,West
231,2023-07-03,Paid Search,East
232,2023-05-03,Organic,South
233,2024-02-05,Organic,West
234,2023-10-21,Social,South
235,2023-10-07,Referral,North
236,2024-09-01,Organic,South
237,2023-07-17,Organic,East
238,2024-05-25,Referral,East
239,2023-05-24,Paid Search,South
240,2024-08-31,Paid Search,East
241,2023-07-20,Paid Search,East
242,2023-05-04,Referral,North
243,2023-07-06,Referral,West
244,2023-11-22,Paid Search,East
245,2024-04-08,Organic,West
246,2023-12-15,Organic,South
247,2024-10-21,Paid Search,South
248,2024-02-07,Social,East
249,2023-12-12,Paid Search,South
250,2024-05-25,Paid Search,North
251,2023-05-27,Organic,East
252,2023-05-28,Organic,East
253,2024-12-11,Paid Search,East
254,2024-05-03,Organic,South
255,2024-10-01,Organic,South
256,2024-07-04,Paid Search,East
257,2023-12-04,Paid Search,West
258,2024-10-02,Organic,South
259,2024-04-17,Paid Search,South
260,2023-05-31,Social,East
261,2024-02-19,Referral,West
262,2023-10-25,Social,East
263,2024-09-02,Paid Search,South
264,2023-09-20,Social,East
265,2023-05-24,Paid Search,East
266,2023-12-12,Paid Search,East
267,2024-09-15,Paid Search,West
268,2024-07-25,Paid Search,East
269,2023-01-02,Organic,South
270,2023-10-31,Organic,East
271,2023-09-11,Paid Search,West
272,2024-10-13,Organic,North
273,2024-03-28,Paid Search,West
274,2023-02-06,Organic,East
275,2023-06-09,Paid Search,North
276,2023-01-09,Referral,East
277,2023-08-21,Referral,West
278,2023-04-09,Organic,North
279,2024-10-20,Paid Search,North
280,2023-07-27,Paid Search,East
281,2023-05-11,Referral,East
282,2024-02-08,Paid Search,West
283,2023-06-01,Paid Search,East
284,2023-02-23,Paid Search,North
285,2023-04-30,Organic,South
286,2024-11-03,Organic,South
