order_id,customer_id,order_date,service_type,order_value,refund_flag
1,1267,2024-09-30,Premium,69.49,0
2,4602,2024-01-20,Standard,31.48,0
3,4296,2024-11-04,Standard,39.4,0
4,2915,2023-01-26,Standard,62.54,0
5,2620,2024-05-30,Standard,48.52,0
6,4677,2024-11-18,Standard,41.47,0
7,4687,2024-07-10,Express,146.01,0
8,4856,2023-09-25,Standard,23.79,0
9,649,2023-04-02,Express,141.45,0
10,808,2023-10-20,Express,113.84,0
11,3393,2024-01-22,Standard,70.75,0
12,2725,2024-10-29,Express,143.46,0
13,91,2023-05-10,Premium,60.6,0
14,324,2024-04-29,Express,144.77,1
15,4465,2023-04-21,Express,188.58,0
16,4374,2024-03-03,Standard,35.58,0
17,1820,2023-08-22,Premium,88.71,0
18,4483,2024-12-13,Premium,92.25,0
19,2987,2023-02-06,Express,115.75,0
20,4036,2024-07-19,Standard,43.72,0
21,2177,2023-04-15,Standard,40.92,0
22,585,2023-12-05,Premium,85.98,0
23,2211,2023-07-09,Standard,46.81,0
24,2328,2024-10-26,Standard,45.15,0
25,2778,2024-11-22,Premium,111.34,0
26,546,2023-07-10,Standard,49.47,0
27,4961,2023-02-25,Standard,34.53,0
28,1233,2023-04-24,Standard,51.05,0
29,998,2023-01-26,Premium,56.17,0
30,2656,2023-04-20,Standard,48.24,0
31,2704,2024-03-26,Standard,47.04,0
32,2243,2023-06-02,Standard,63.03,0
33,3872,2024-11-04,Premium,91.85,0
34,2604,2024-05-15,Standard,45.57,0
35,3071,2024-09-05,Standard,36.58,0
36,3631,2024-04-16,Standard,52.29,0
37,123,2023-12-27,Standard,65.81,0
38,2872,2024-06-20,Premium,87.34,0
39,4446,2023-07-12,Standard,27.41,0
40,85,2024-01-02,Express,132.78,0
41,2064,2023-06-12,Standard,50.62,0
42,4658,2023-09-29,Express,147.26,0
43,1799,2024-06-27,Standard,55.38,0
44,2333,2023-08-27,Express,86.87,0
45,4912,2024-01-24,Premium,105.24,0
46,1000,2023-01-10,Standard,55.54,0
47,340,2023-11-24,Premium,81.07,0
48,4325,2024-08-13,Standard,54.73,1
49,4371,2023-12-11,Standard,71.08,0
50,2405,2024-01-31,Premium,167.34,0
51,2594,2023-03-31,Standard,47.28,0
52,4207,2024-03-27,Standard,45.74,0
53,3708,2024-03-22,Premium,91.66,0
54,1335,2024-02-14,Standard,46.5,0
55,82,2024-03-19,Express,105.7,0
56,2447,2024-07-26,Premium,69.87,0
57,4322,2024-02-03,Standard,50.85,0
58,4508,2023-01-05,Standard,47.39,0
59,4796,2024-11-02,Express,166.92,0
60,4422,2023-04-06,Premium,85.22,0
61,2917,2024-06-07,Standard,46.94,0
62,2268,2023-12-10,Standard,53.28,0
63,3890,2024-09-12,Standard,72.34,1
64,3715,2024-05-03,Premium,135.96,0
65,2709,2023-07-27,Standard,40.16,0
66,454,2024-06-11,Standard,45.37,0
67,4657,2023-11-03,Express,170.29,1
68,2322,2024-12-27,Standard,26.06,0
69,1851,2024-06-27,Standard,39.34,0
70,3166,2024-09-18,Standard,53.21,0
71,3383,2024-09-29,Standard,58.21,0
72,1057,2023-08-16,Premium,92.0,0
73,4210,2023-08-17,Standard,50.98,0
74,1468,2024-01-22,Standard,34.94,0
75,941,2024-01-06,Standard,41.12,0
76,2071,2023-12-14,Standard,46.72,0
77,3665,2024-07-10,Standard,41.42,0
78,4837,2023-01-24,Standard,40.65,0
79,4056,2023-01-13,Standard,61.47,0
80,4719,2024-05-31,Standard,66.63,0
81,716,2024-08-15,Express,156.07,0
82,372,2023-06-27,Standard,64.69,0
83,2807,2024-04-04,Standard,33.05,1
84,1470,2024-01-10,Standard,47.23,0
85,4161,2024-11-19,Standard,55.12,0
86,3372,2024-02-06,Premium,94.63,0
87,4861,2023-10-16,Express,112.05,0
88,1283,2023-07-05,Standard,41.3,0
89,2473,2024-05-17,Express,122.9,0
90,2532,2023-06-11,Standard,41.88,0
91,1212,2024-04-02,Express,100.6,0
92,2966,2023-01-31,Premium,134.52,1
93,2260,2023-03-20,Standard,47.52,0
94,2277,2023-10-10,Standard,50.44,0
95,1849,2023-07-06,Express,144.0,0
96,82,2024-06-22,Standard,52.41,0
97,2629,2024-01-10,Standard,44.82,0
98,1692,2024-01-20,Standard,73.56,0
99,8,2023-03-17,Standard,46.93,0
100,1548,2024-12-08,Standard,62.6,0
101,1412,2024-02-11,Premium,108.74,0
102,2009,2024-08-21,Express,203.79,0
103,684,2023-05-03,Standard,36.92,0
104,2563,2024-04-12,Premium,125.49,0
105,3472,2023-07-10,Premium,61.31,0
106,3167,2023-09-12,Standard,43.46,0
107,4027,2023-07-31,Standard,46.84,0
108,2309,2023-10-11,Premium,89.52,0
109,2615,2023-10-07,Standard,43.99,0
110,4063,2023-10-05,Standard,37.79,1
111,2179,2024-04-14,Standard,47.39,0
112,3514,2023-06-17,Standard,37.11,0
113,2214,2023-07-22,Standard,73.71,0
114,2123,2023-04-06,Standard,46.76,0
115,3822,2024-12-28,Standard,25.89,0
116,882,2024-09-07,Standard,74.61,1
117,1712,2024-10-22,Standard,23.96,0
118,1130,2024-01-19,Express,173.47,0
119,1831,2024-11-09,Express,141.33,0
120,1167,2023-04-19,Standard,43.33,0
121,2913,2023-12-04,Express,104.43,0
122,3994,2023-02-27,Standard,90.88,0
123,3944,2023-07-17,Express,119.2,0
124,1856,2024-11-15,Standard,48.18,0
125,4948,2024-10-01,Standard,56.46,0
126,2988,2023-12-01,Standard,40.95,0
127,2037,2024-05-11,Standard,49.02,0
128,4206,2023-11-14,Standard,58.76,0
129,3664,2023-06-15,Standard,40.82,0
130,3760,2024-07-29,Premium,80.19,0
131,985,2024-09-11,Premium,74.74,0
132,2386,2024-01-16,Standard,64.47,0
133,4339,2024-09-19,Standard,73.15,0
134,2549,2023-12-10,Standard,49.58,0
135,3429,2024-12-11,Express,132.38,0
136,2956,2024-12-15,Express,99.17,0
137,4239,2024-08-12,Premium,73.2,0
138,1444,2024-02-08,Standard,45.91,0
139,2893,2024-06-23,Express,233.76,0
140,640,2023-08-18,Premium,124.03,0
141,3463,2024-05-20,Standard,55.16,0
142,3672,2023-07-20,Premium,90.16,0
143,219,2023-01-20,Premium,59.62,0
144,3387,2023-04-17,Premium,72.48,0
145,2109,2024-04-13,Standard,56.22,0
146,644,2023-01-22,Standard,49.98,0
147,2136,2023-07-24,Standard,43.71,0
148,978,2023-02-16,Express,120.01,1
149,2114,2023-01-25,Premium,107.38,0
150,1963,2023-05-30,Premium,101.83,0
151,3707,2024-09-05,Premium,88.93,0
152,3886,2023-11-13,Standard,46.97,0
153,3055,2024-11-22,Standard,55.79,0
154,113,2023-04-29,Standard,49.72,0
155,4679,2023-05-28,Express,116.15,1
156,3446,2023-07-27,Premium,105.33,0
157,170,2023-01-20,Standard,40.71,0
158,4109,2024-09-08,Premium,104.78,0
159,1006,2024-09-09,Express,151.0,0
160,2912,2023-12-24,Premium,83.33,0
161,2376,2024-11-15,Standard,28.93,0
162,2136,2023-02-06,Standard,32.54,0
163,4475,2023-05-23,Standard,54.01,0
164,2229,2023-05-17,Standard,33.59,0
165,393,2024-09-04,Express,178.65,1
166,4756,2023-06-21,Standard,31.75,0
167,4624,2024-10-16,Standard,45.57,0
168,3435,2024-07-09,Standard,47.66,0
169,2384,2024-09-23,Express,208.19,0
170,486,2024-09-21,Premium,111.75,0
171,3965,2024-01-31,Standard,38.28,1
172,393,2023-08-27,Standard,67.06,0
173,356,2023-06-02,Premium,99.39,0
174,2705,2023-07-21,Standard,39.75,0
175,808,2023-02-19,Express,192.81,0
176,43,2023-05-19,Standard,41.86,0
177,2151,2023-12-05,Standard,22.78,1
178,700,2023-10-06,Express,117.97,0
179,808,2023-03-29,Express,142.26,0
180,402,2024-10-16,Standard,72.32,0
181,1031,2024-07-28,Express,124.04,1
182,3585,2024-10-21,Standard,34.81,0
183,4054,2023-12-11,Standard,53.28,0
184,2312,2023-09-05,Premium,79.12,0
185,2556,2024-06-05,Express,194.07,0
186,160,2024-09-15,Standard,80.02,0
187,360,2023-08-30,Standard,29.05,0
188,1294,2024-03-20,Premium,85.87,0
189,2736,2024-04-21,Premium,78.35,0
190,3714,2024-01-09,Express,108.94,0
191,3043,2024-07-14,Standard,57.29,0
192,2005,2023-02-18,Standard,76.79,1
193,610,2023-11-28,Premium,98.61,0
194,3917,2024-06-28,Premium,100.46,0
195,1851,2024-08-21,Express,100.77,0
196,3695,2023-10-06,Standard,44.64,0
197,2590,2023-06-30,Standard,57.15,0
198,3708,2023-10-20,Premium,140.98,0
199,4564,2023-08-09,Premium,133.03,0
200,4627,2024-04-28,Standard,57.91,0
201,2691,2024-10-03,Premium,68.8,0
202,2582,2023-01-05,Standard,49.6,0
203,1339,2024-04-19,Standard,42.62,0
204,4700,2024-12-17,Standard,49.3,0
205,2332,2024-04-14,Premium,111.34,0
206,662,2023-07-24,Express,116.73,0
207,2208,2024-02-20,Standard,51.32,0
208,659,2024-03-17,Standard,41.55,0
209,2540,2024-08-04,Express,172.01,0
210,2824,2023-02-09,Standard,53.67,0
211,1707,2023-12-23,Standard,57.26,0
212,374,2023-05-14,Standard,66.59,0
213,4738,2024-07-28,Standard,48.1,0
214,3881,2023-04-01,Premium,67.56,0
215,4222,2023-07-16,Premium,111.22,0
216,1870,2023-09-06,Standard,55.93,1
217,3825,2023-12-05,Standard,46.65,0
218,2473,2023-11-02,Standard,50.92,0
219,1007,2024-02-28,Standard,43.56,0
220,644,2024-05-27,Express,149.27,0
221,1751,2024-11-16,Standard,42.96,0
222,702,2023-05-18,Standard,50.02,0
223,4994,2024-09-16,Standard,43.17,0
224,252,2023-11-01,Premium,108.46,0
225,2249,2023-01-14,Express,148.83,0
226,2309,2023-02-15,Standard,45.95,0
227,1513,2024-07-05,Standard,51.34,0
228,2877,2023-04-24,Standard,34.87,0
229,760,2023-05-27,Premium,63.64,0
230,3932,2023-08-30,Standard,44.08,0
231,1675,2024-06-12,Standard,41.14,0
232,2973,2023-07-29,Premium,70.12,0
233,3586,2023-08-20,Standard,34.65,0
234,4471,2024-01-05,Premium,84.68,0
235,4207,2024-04-01,Standard,45.23,0
236,3062,2023-07-12,Express,109.81,0
237,1987,2023-03-11,Standard,49.9,0
238,2544,2023-10-21,Premium,113.41,0
239,3859,2023-05-25,Standard,37.05,0
240,4414,2024-08-07,Premium,120.54,0
241,539,2023-05-05,Premium,57.83,0
242,1966,2024-01-11,Premium,90.32,0
243,3895,2023-05-26,Standard,65.59,0
244,2202,2023-08-26,Standard,61.8,0
245,1674,2023-05-15,Standard,54.07,0
246,2096,2024-02-23,Standard,57.07,0
247,3030,2023-06-21,Express,142.51,0
248,4999,2023-10-22,Premium,86.69,0
249,2502,2024-06-06,Express,119.13,1
250,1047,2023-05-05,Standard,43.88,0
251,818,2023-09-23,Standard,55.49,0
252,219,2023-05-08,Premium,78.72,1
253,2813,2023-12-20,Express,129.03,0
